X-One Reference,Amount,Currency,Buy/Sell,Instrument Name,Product Price,Maturity Date,Trade Date,Option Type,Strike,Broker Fees,Broker Fees Ccy,Underlying Name
ELI-870406488,147000,CHF,Sell,EquityListedOption,147,42566,42543,P,7650,0,CHF,SMI
ELI-870406418,102000,CHF,Buy,EquityListedOption,68,42566,42543,P,7200,0,CHF,SMI
ELI-870056089,520,EUR,Buy,EquityListedOption,0.26,42629,42542,P,10.5,0,EUR,DEUTSCHE-BANK_X
ELI-870056088,490,EUR,Sell,EquityListedOption,0.49,42629,42542,P,12,0,EUR,DEUTSCHE-BANK_X
ELI-863027818,345,EUR,Buy,EquityListedOption,0.23,42566,42515,C,28,0,EUR,DEUT-POST
ELI-861788855,11500,EUR,Buy,EquityListedOption,23,42538,42510,P,8800,0,EUR,DAX_X
ELI-861788854,54250,EUR,Sell,EquityListedOption,108.5,42538,42510,P,9500,0,EUR,DAX_X
ELI-861788831,54250,EUR,Sell,EquityListedOption,108.5,42538,42510,P,9500,0,EUR,DAX_X
ELI-861788830,11500,EUR,Buy,EquityListedOption,23,42538,42510,P,8800,0,EUR,DAX_X
ELI-856209422,680400,KRW,Buy,EquityFuture,24300,42502,42488,,,272.16,KRW,47050.KS
ELI-852811490,84800,HKD,,EquitySecurity,3.392,,42474,,,0,,1339.HK
ELI-852225839,2459.95,INR,Buy,EquityFuture,2459.95,42488,42472,,,75.27447,INR,BAJAJA.NS
ELI-848421182,151500,KRW,Buy,EquityFuture,30300,42474,42457,,,60.6,KRW,000080.KS
ELI-847776507,82500,KRW,Sell,EquityFuture,41250,42474,42452,,,33,KRW,55550.KS
ELI-846139615,1088100,KRW,Buy,EquitySecurity,83700,,42446,,,239.382,KRW,011070.KS
ELI-845302865,576500,EUR,Sell,EquityFuture,115.3,42447,42443,,,0,EUR,SX7E
ELI-845302052,224400,EUR,Buy,EquityFuture,112.2,42538,42443,,,0,EUR,SX7E
ELI-845302040,336900,EUR,Buy,EquityFuture,112.3,42538,42443,,,0,EUR,SX7E
ELI-842341081,37560,HKD,,EquitySecurity,9.39,,42431,,,0,,0489.HK
ELI-839994644,28.4,TWD,Buy,EquityListedOption,7.1,42424,42422,C,8450,0,TWD,TWII
ELI-838377240,33000,CHF,Sell,EquityListedOption,66,42419,42415,P,7750,0,CHF,SMI
ELI-838377239,75500,CHF,Buy,EquityListedOption,151,42419,42415,C,7750,0,CHF,SMI
ELI-838322688,32750,CHF,Sell,EquityListedOption,65.5,42419,42415,P,7750,0,CHF,SMI
ELI-838322687,75250,CHF,Buy,EquityListedOption,150.5,42419,42415,C,7750,0,CHF,SMI
ELI-837950189,4875,EUR,Sell,EquityListedOption,3.25,42475,42412,C,105,0,EUR,SX7E
ELI-837714489,405900,KRW,Buy,EquityFuture,22550,42439,42412,,,162.36,KRW,09830.KS
ELI-836205849,440325,EUR,Buy,EquityListedOption,587.1,42538,42408,P,9000,0,EUR,DAX_X
ELI-836205848,276075,EUR,Sell,EquityListedOption,368.1,42447,42408,P,9000,0,EUR,DAX_X
ELI-836204600,286750,EUR,Buy,EquityListedOption,573.5,42538,42408,P,9000,0,EUR,DAX_X
ELI-836204598,177250,EUR,Sell,EquityListedOption,354.5,42447,42408,P,9000,0,EUR,DAX_X
ELI-830313032,966.75,EUR,Sell,EquitySecurity,12.89,43913,42387,,,,,635483
ELI-828801194,5790.08,EUR,Buy,EquitySecurity,13.28,,42382,,,,,CONW.VI
ELI-828727992,859500,KRW,Sell,EquityFuture,57300,42439,42382,,,343.8,KRW,09150.KS
ELI-828727442,24028.16,HKD,,EquitySecurity,18.4832,,42382,,,0,,2202.HK
ELI-828719285,345500,KRW,Buy,EquityFuture,69100,42439,42382,,,138.2,KRW,00210.KS
ELI-828719286,345500,KRW,Buy,EquityFuture,69100,42439,42382,,,138.2,KRW,00210.KS
ELI-828340814,636740,KRW,Sell,EquityFuture,8060,42439,42381,,,254.696,KRW,06800.KS
ELI-828041414,63829.2,HKD,,EquitySecurity,21.2764,,42380,,,0,,2628.HK
ELI-828041413,254047.5,HKD,,EquitySecurity,12.0975,,42380,,,0,,0267.HK
ELI-826854286,144360,KRW,Sell,EquityFuture,8020,42439,42375,,,60.08777122,KRW,138930.KS
ELI-815786885,774.1125,EUR,Sell,EquitySecurity,22.1175,,42325,,,,,VIE
ELI-758306492,527894.5421,USD,Sell,EquitySecurity,81.92032,,42111,,,,,HOT.N
ELI-758117221,2843.55,TRY,Sell,EquitySecurity,31.95,,42111,,,0.7108875,TRY,FROTO.IS
ELI-978199839,70800,CHF,Buy,EquityFuture,8850,42993,42977,,,,,SMI
ELI-978199840,105275,CHF,Sell,EquityListedOption,421.1,43455,42977,C,8800,0,CHF,SMI
ELI-978199841,77500,CHF,Buy,EquityListedOption,310,43266,42977,C,8800,500,CHF,SMI
ELI-978199842,175550,CHF,Sell,EquityListedOption,702.2,43455,42977,P,8800,0,CHF,SMI
ELI-978199843,138325,CHF,Buy,EquityListedOption,553.3,43266,42977,P,8800,0,CHF,SMI
ELI-976965831,742000,GBP,Buy,EquityFuture,7420,42993,42971,,,,,FTSE
ELI-976965829,2500,GBP,Buy,EquityListedOption,5,42993,42971,C,7600,0,EUR,FTSE
ELI-976965830,12250,GBP,Sell,EquityListedOption,24.5,42993,42971,C,7500,250,EUR,FTSE
ELI-975673054,3199200,EUR,Sell,EquityFuture,3440,42993,42965,,,,,STOX5E_X
ELI-975673055,72000,EUR,Buy,EquityListedOption,24,42993,42965,C,3500,600,EUR,STOX5E_X
ELI-974883334,3700000,GBP,Buy,EquityFuture,7400,42993,42963,,,,,FTSE
ELI-974634053,118220,EUR,Buy,EquityFuture,5140,42965,42962,,,,,CAC40_X
ELI-974634055,1500,EUR,Buy,EquityListedOption,10,42965,42962,P,5100,75,EUR,CAC40_X
ELI-974634054,600,EUR,Sell,EquityListedOption,2,42965,42962,P,5000,0,EUR,CAC40_X
ELI-972187925,1560000,EUR,Sell,EquityFuture,5200,42965,42951,,,,,CAC40_X
ELI-972187923,35000,EUR,Buy,EquityListedOption,35,42993,42951,C,5300,500,EUR,CAC40_X
ELI-970426083,693500,GBP,Sell,EquityFuture,7300,42993,42944,,,,,FTSE
ELI-970382912,23175,SEK,Buy,EquityFuture,1545,43084,42944,,,,,OMX
ELI-967199690,191100,GBP,Sell,EquityFuture,7350,42993,42933,,,,,FTSE
ELI-967199692,200,GBP,Sell,EquityListedOption,2,42937,42933,C,7550,0,EUR,FTSE
ELI-967199691,1300,GBP,Buy,EquityListedOption,13,42937,42933,C,7450,50,EUR,FTSE
ELI-962477063,368000,GBP,Sell,EquityFuture,7360,42993,42913,,,,,FTSE
ELI-962477064,52350,GBP,Sell,EquityListedOption,349,43455,42913,P,6600,75,GBP,FTSE
ELI-962410666,105200,EUR,Buy,EquityFuture,5260,42937,42913,,,,,CAC40_X
ELI-962410669,135000,EUR,Buy,EquityListedOption,270,43266,42913,C,5200,750,EUR,CAC40_X
ELI-962410670,186000,EUR,Buy,EquityListedOption,372,43266,42913,P,5200,0,EUR,CAC40_X
ELI-958598822,885000,CHF,Sell,EquityFuture,8850,42902,42899,,,,,SMI
ELI-958598824,19900,CHF,Buy,EquityListedOption,199,42993,42899,C,8850,0,CHF,SMI
ELI-958598823,21720,CHF,Sell,EquityListedOption,217.2,42993,42899,P,8850,100,CHF,SMI
ELI-957072323,1777400,CHF,Sell,EquityFuture,8887,42993,42893,,,0,CHF,SMI
ELI-957072324,1781400,CHF,Buy,EquityFuture,8907,42902,42893,,,200,CHF,SMI
ELI-956761592,2237500,CHF,Buy,EquityFuture,8950,42902,42892,,,,,SMI
ELI-955825120,10500,SEK,Sell,EquityListedOption,21,42937,42887,P,1620,250,EUR,OMX
ELI-955825119,311600,SEK,Sell,EquityFuture,1640,42937,42887,,,,,OMX
ELI-955414134,1376760,SEK,Sell,EquityFuture,1639,42993,42886,,,,,OMX
ELI-955414135,81700,SEK,Sell,EquityListedOption,40.85,42993,42886,P,1620,1000,EUR,OMX
ELI-948471894,38470,CHF,Buy,EquityListedOption,384.7,43084,42857,P,8800,0,CHF,SMI
ELI-948471891,34530,CHF,Buy,EquityListedOption,345.3,43084,42857,C,8800,200,CHF,SMI
ELI-948471890,96690,CHF,Sell,EquityFuture,8790,42902,42857,,,,,SMI
ELI-948471895,82180,CHF,Sell,EquityListedOption,821.8,43455,42857,P,8800,0,CHF,SMI
ELI-948471892,47320,CHF,Sell,EquityListedOption,473.2,43455,42857,C,8800,0,CHF,SMI
ELI-943017431,12180,CHF,Sell,EquityListedOption,60.9,42846,42832,P,8550,100,CHF,SMI
ELI-943017432,12780,CHF,Buy,EquityListedOption,63.9,42874,42832,P,8200,0,CHF,SMI
ELI-943017430,424500,CHF,Sell,EquityFuture,8490,42902,42832,,,,,SMI
ELI-936664014,216300,SEK,Sell,EquityFuture,1545,42846,42808,,,,,OMX
ELI-936664017,5875,SEK,Sell,EquityListedOption,11.75,42846,42808,P,1500,250,EUR,OMX
ELI-936312102,294000,EUR,Sell,EquityFuture,19600,42811,42807,,,,,SPMIB_X
ELI-936312103,7000,EUR,Buy,EquityListedOption,35,42811,42807,C,20000,490,EUR,SPMIB_X
ELI-936009098,1165250,EUR,Sell,EquityFuture,19750,42811,42804,,,,,SPMIB_X
ELI-936009096,30300,EUR,Buy,EquityListedOption,101,42811,42804,C,20000,0,EUR,SPMIB_X
ELI-936009097,8400,EUR,Sell,EquityListedOption,28,42811,42804,P,19000,740.63,EUR,SPMIB_X
ELI-935328006,695400,GBP,Buy,EquityFuture,7320,42811,42802,,,,,FTSE
ELI-935328007,36500,GBP,Buy,EquityListedOption,146,42902,42802,P,7100,125,EUR,FTSE
ELI-929924950,67600,GBP,Buy,EquityListedOption,338,43084,42779,C,7100,100,GBP,FTSE
ELI-929924951,78700,GBP,Buy,EquityListedOption,393.5,43084,42779,P,7100,100,GBP,FTSE
ELI-928825451,7475,SEK,Buy,EquityFuture,1495,42902,42774,,,,,OMX
ELI-928825452,20000,SEK,Buy,EquityListedOption,20,42902,42774,P,1360,0,EUR,OMX
ELI-928825456,22000,SEK,Sell,EquityListedOption,44,42902,42774,P,1460,250,EUR,OMX
ELI-928469696,70110,SEK,Sell,EquityFuture,1558,42783,42773,,,,,OMX
ELI-928469697,1050,SEK,Sell,EquityListedOption,2.1,42783,42773,P,1510,250,EUR,OMX
ELI-927808692,15550,SEK,Buy,EquityFuture,1555,42783,42769,,,,,OMX
ELI-927808694,650,SEK,Buy,EquityListedOption,1.3,42783,42769,C,1600,250,EUR,OMX
ELI-927808693,1175,SEK,Buy,EquityListedOption,2.35,42783,42769,P,1500,250,EUR,OMX
ELI-920229250,123300,CHF,Sell,EquityFuture,8220,42811,42738,,,,,SMI
ELI-920229252,123540,CHF,Sell,EquityListedOption,411.8,43084,42738,C,8200,300,CHF,SMI
ELI-920229251,185160,CHF,Sell,EquityListedOption,617.2,43084,42738,P,8200,300,CHF,SMI
ELI-920111635,123200,EUR,Buy,EquityListedOption,123.2,43084,42737,P,2800,200,EUR,STOX5E_X
ELI-920110981,245200,EUR,Buy,EquityListedOption,122.6,43084,42737,P,2800,400,EUR,STOX5E_X
ELI-920096207,243000,EUR,Sell,EquityListedOption,121.5,42902,42737,P,3100,400,EUR,STOX5E_X
ELI-920044853,65500,EUR,Sell,EquityListedOption,65.5,42783,42737,C,3300,200,EUR,STOX5E_X
ELI-920045188,65500,EUR,Sell,EquityListedOption,65.5,42783,42737,C,3300,200,EUR,STOX5E_X
ELI-920047343,131000,EUR,Sell,EquityListedOption,65.5,42783,42737,C,3300,400,EUR,STOX5E_X
ELI-920051286,65500,EUR,Sell,EquityListedOption,65.5,42783,42737,C,3300,200,EUR,STOX5E_X
ELI-920111634,117200,EUR,Sell,EquityListedOption,58.6,43084,42737,P,2400,0,EUR,STOX5E_X
ELI-920110980,233200,EUR,Sell,EquityListedOption,58.3,43084,42737,P,2400,0,EUR,STOX5E_X
ELI-920112762,50000,EUR,Buy,EquityListedOption,50,42755,42737,C,3300,200,EUR,STOX5E_X
ELI-918594651,2205000,GBP,Buy,EquityFuture,7000,42811,42727,,,,,FTSE
ELI-918594652,40125,GBP,Sell,EquityListedOption,53.5,42755,42727,C,7100,375,GBP,FTSE
ELI-917352301,243000,EUR,Sell,EquityFuture,3240,42811,42723,,,,,STOX5E_X
ELI-917352218,243000,EUR,Sell,EquityFuture,3240,42811,42723,,,,,STOX5E_X
ELI-917352220,143100,EUR,Buy,EquityListedOption,286.2,43266,42723,P,3000,100,EUR,STOX5E_X
ELI-917352299,143100,EUR,Buy,EquityListedOption,286.2,43266,42723,P,3000,100,EUR,STOX5E_X
ELI-917352300,172650,EUR,Buy,EquityListedOption,345.3,43266,42723,C,3000,100,EUR,STOX5E_X
ELI-917352221,172650,EUR,Buy,EquityListedOption,345.3,43266,42723,C,3000,100,EUR,STOX5E_X
ELI-916039458,511000,EUR,Buy,EquityListedOption,511,42993,42718,C,9300,901,EUR,IBEX_X
ELI-912535566,222000,SEK,Buy,EquityFuture,1480,42720,42705,,,,,OMX
ELI-912535564,12000,SEK,Buy,EquityListedOption,12,42720,42705,C,1500,0,EUR,OMX
ELI-912535563,21400,SEK,Sell,EquityListedOption,21.4,42720,42705,C,1480,500,EUR,OMX
ELI-906610271,14730,SEK,Buy,EquityFuture,1473,42692,42684,,,,,OMX
ELI-906610270,7500,SEK,Sell,EquityListedOption,15,42692,42684,C,1470,0,EUR,OMX
ELI-906610427,16250,SEK,Buy,EquityListedOption,32.5,42720,42684,C,1470,250,EUR,OMX
ELI-906571554,125290,SEK,Sell,EquityFuture,1474,42720,42684,,,,,OMX
ELI-906571556,5500,SEK,Buy,EquityListedOption,11,42720,42684,C,1520,250,EUR,OMX
ELI-906571555,1250,SEK,Sell,EquityListedOption,2.5,42720,42684,C,1560,0,EUR,OMX
ELI-904140436,127980,SEK,Buy,EquityFuture,1422,42720,42676,,,,,OMX
ELI-904140435,19550,SEK,Buy,EquityListedOption,19.55,42720,42676,P,1360,500,EUR,OMX
ELI-904140434,12000,SEK,Sell,EquityListedOption,6,42720,42676,P,1260,0,EUR,OMX
ELI-903250159,2375,SEK,Buy,EquityListedOption,4.75,42692,42671,C,1500,250,EUR,OMX
ELI-903250158,261900,SEK,Sell,EquityFuture,1455,42692,42671,,,,,OMX
ELI-903250157,3500,SEK,Sell,EquityListedOption,7,42692,42671,P,1400,0,EUR,OMX
ELI-890145807,250,SEK,Buy,EquityListedOption,1,42629,42620,P,1360,125,EUR,OMX
ELI-890145806,587.5,SEK,Sell,EquityListedOption,2.35,42629,42620,P,1390,0,EUR,OMX
ELI-890145808,25902,SEK,Sell,EquityFuture,1439,42629,42620,,,,,OMX
ELI-879033868,20535,SEK,Sell,EquityFuture,1369,42720,42572,,,,,OMX
ELI-879033867,15600,SEK,Sell,EquityListedOption,15.6,42720,42572,C,1500,0,EUR,OMX
ELI-878704962,576240,SEK,Sell,EquityFuture,1372,42720,42571,,,,,OMX
ELI-878704961,20900,SEK,Buy,EquityListedOption,20.9,42720,42571,C,1480,500,EUR,OMX
ELI-878704960,22000,SEK,Sell,EquityListedOption,22,42720,42571,P,1200,0,EUR,OMX
ELI-875069620,336114,SEK,Buy,EquityFuture,1278,42566,42557,,,,,OMX
ELI-875069619,10650,SEK,Buy,EquityListedOption,21.3,42566,42557,P,1280,250,EUR,OMX
ELI-875030148,9200,SEK,Buy,EquityListedOption,18.4,42566,42557,P,1280,250,EUR,OMX
ELI-875030147,301505,SEK,Buy,EquityFuture,1283,42566,42557,,,,,OMX
ELI-872637936,509200,SEK,Sell,EquityFuture,1273,42566,42549,,,,,OMX
ELI-872637935,16800,SEK,Buy,EquityListedOption,8.4,42566,42549,C,1340,1000,EUR,OMX
ELI-872215097,240730,SEK,Sell,EquityFuture,1267,42566,42548,,,,,OMX
ELI-872215090,7600,SEK,Buy,EquityListedOption,7.6,42566,42548,C,1340,500,EUR,OMX
ELI-872194666,468790,SEK,Buy,EquityFuture,1267,42566,42548,,,,,OMX
ELI-872194661,25500,SEK,Buy,EquityListedOption,25.5,42566,42548,P,1240,500,EUR,OMX
ELI-872080878,323340,SEK,Buy,EquityFuture,1268,42720,42548,,,,,OMX
ELI-872079060,646680,SEK,Buy,EquityFuture,1268,42720,42548,,,,,OMX
ELI-872079062,14350,SEK,Sell,EquityListedOption,14.35,42720,42548,C,1440,0,EUR,OMX
ELI-872080875,7175,SEK,Sell,EquityListedOption,14.35,42720,42548,C,1440,0,EUR,OMX
ELI-872080876,27500,SEK,Buy,EquityListedOption,55,42720,42548,P,1200,250,EUR,OMX
ELI-872079059,55000,SEK,Buy,EquityListedOption,55,42720,42548,P,1200,500,EUR,OMX
ELI-870478473,215680,SEK,Sell,EquityFuture,1348,42566,42543,,,,,OMX
ELI-870478471,20500,SEK,Sell,EquityListedOption,41,42566,42543,P,1340,250,EUR,OMX
ELI-870478470,5200,SEK,Buy,EquityListedOption,5.2,42566,42543,P,1140,0,EUR,OMX
ELI-870407150,401100,SEK,Sell,EquityFuture,1337,42720,42543,,,,,OMX
ELI-870407153,49500,SEK,Sell,EquityListedOption,49.5,42720,42543,P,1240,500,EUR,OMX
ELI-870056363,260130,SEK,Sell,EquityFuture,1334,42601,42542,,,,,OMX
ELI-870056364,21350,SEK,Sell,EquityListedOption,42.7,42601,42542,P,1300,250,EUR,OMX
ELI-869740626,226440,SEK,Sell,EquityFuture,1332,42566,42541,,,,,OMX
ELI-869740627,26000,SEK,Sell,EquityListedOption,26,42566,42541,P,1280,500,EUR,OMX
ELI-869740628,11000,SEK,Buy,EquityListedOption,5.5,42566,42541,P,1140,0,EUR,OMX
ELI-865434286,80800,SEK,Buy,EquityListedOption,40.4,42720,42524,P,1200,1000,EUR,OMX
ELI-865434285,90000,SEK,Sell,EquityListedOption,45,42720,42524,C,1400,0,EUR,OMX
ELI-865434287,1675800,SEK,Buy,EquityFuture,1330,42720,42524,,,,,OMX
ELI-865378551,189000,SEK,Buy,EquityFuture,1350,42538,42524,,,,,OMX
ELI-865378549,4600,SEK,Buy,EquityListedOption,9.2,42538,42524,P,1320,250,EUR,OMX
ELI-864657316,439400,SEK,Sell,EquityFuture,1352,42629,42522,,,,,OMX
ELI-864657315,27000,SEK,Buy,EquityListedOption,27,42629,42522,C,1420,500,EUR,OMX
ELI-863920770,522500,SEK,Sell,EquityFuture,1375,42629,42520,,,,,OMX
ELI-863920769,42700,SEK,Sell,EquityListedOption,21.35,42629,42520,P,1240,1000,EUR,OMX
ELI-863672490,165000,SEK,Sell,EquityFuture,1375,42538,42517,,,,,OMX
ELI-863672486,12937.5,SEK,Buy,EquityListedOption,17.25,42538,42517,C,1380,375,EUR,OMX
ELI-863672485,6300,SEK,Sell,EquityListedOption,8.4,42538,42517,C,1400,0,EUR,OMX
ELI-862611504,22450,SEK,Buy,EquityListedOption,22.45,42538,42514,P,1340,500,EUR,OMX
ELI-862611502,3000,SEK,Sell,EquityListedOption,3,42538,42514,P,1240,0,EUR,OMX
ELI-862611503,498020,SEK,Buy,EquityFuture,1346,42538,42514,,,,,OMX
ELI-861113886,185780,SEK,Sell,EquityFuture,1327,42538,42508,,,,,OMX
ELI-861112561,185780,SEK,Sell,EquityFuture,1327,42538,42508,,,,,OMX
ELI-861113884,27800,SEK,Sell,EquityListedOption,27.8,42538,42508,P,1320,500,EUR,OMX
ELI-861112559,27800,SEK,Sell,EquityListedOption,27.8,42538,42508,P,1320,500,EUR,OMX
ELI-861113885,16000,SEK,Buy,EquityListedOption,8,42538,42508,P,1240,0,EUR,OMX
ELI-861112558,16000,SEK,Buy,EquityListedOption,8,42538,42508,P,1240,0,EUR,OMX
ELI-859574888,118080,SEK,Sell,EquityFuture,1312,42510,42502,,,,,OMX
ELI-859574889,7200,SEK,Buy,EquityListedOption,7.2,42538,42502,C,1380,500,EUR,OMX
ELI-859574891,1300,SEK,Sell,EquityListedOption,1.3,42510,42502,C,1360,0,EUR,OMX
ELI-857586549,289080,SEK,Buy,EquityFuture,1314,42720,42494,,,,,OMX
ELI-857585899,289080,SEK,Buy,EquityFuture,1314,42720,42494,,,,,OMX
ELI-857586548,42750,SEK,Buy,EquityListedOption,85.5,42720,42494,P,1300,250,EUR,OMX
ELI-857585898,42750,SEK,Buy,EquityListedOption,85.5,42720,42494,P,1300,250,EUR,OMX
ELI-857585099,289080,SEK,Buy,EquityFuture,1314,42720,42494,,,,,OMX
ELI-857585096,42750,SEK,Buy,EquityListedOption,85.5,42720,42494,P,1300,250,EUR,OMX
ELI-857583199,289080,SEK,Buy,EquityFuture,1314,42720,42494,,,,,OMX
ELI-857583200,42625,SEK,Buy,EquityListedOption,85.25,42720,42494,P,1300,250,EUR,OMX
ELI-857305505,927780,SEK,Sell,EquityFuture,1316,42629,42493,,,,,OMX
ELI-857305503,85800,SEK,Buy,EquityListedOption,57.2,42629,42493,C,1340,750,EUR,OMX
ELI-857295244,486920,SEK,Sell,EquityFuture,1316,42629,42493,,,,,OMX
ELI-857295243,38500,SEK,Buy,EquityListedOption,38.5,42629,42493,C,1380,500,EUR,OMX
ELI-855725082,546852,SEK,Buy,EquityFuture,1374,42510,42486,,,,,OMX
ELI-855724986,21750,SEK,Buy,EquityListedOption,29,42510,42486,P,1380,375,EUR,OMX
ELI-854242172,55760,SEK,Sell,EquityFuture,1394,42510,42480,,,,,OMX
ELI-854242171,26100,SEK,Buy,EquityListedOption,26.1,42538,42480,C,1420,500,EUR,OMX
ELI-854242169,16000,SEK,Sell,EquityListedOption,16,42510,42480,C,1420,0,EUR,OMX
ELI-853878824,429352,SEK,Buy,EquityFuture,1394,42510,42479,,,,,OMX
ELI-853878823,17250,SEK,Buy,EquityListedOption,23,42510,42479,P,1380,375,EUR,OMX
ELI-852621119,13700,SEK,Buy,EquityListedOption,27.4,42510,42473,P,1360,250,EUR,OMX
ELI-852621118,294765,SEK,Buy,EquityFuture,1371,42510,42473,,,,,OMX
ELI-850091634,297450,SEK,Buy,EquityFuture,1322,42538,42464,,,,,OMX
ELI-850091635,85500,SEK,Buy,EquityListedOption,57,42538,42464,P,1340,750,EUR,OMX
ELI-850091636,53100,SEK,Sell,EquityListedOption,23.6,42538,42464,P,1240,0,EUR,OMX
ELI-849737616,720360,SEK,Buy,EquityFuture,1334,42475,42461,,,,,OMX
ELI-849737615,23650,SEK,Buy,EquityListedOption,23.65,42475,42461,P,1340,500,EUR,OMX
ELI-849727874,530550,SEK,Sell,EquityFuture,1310,42720,42461,,,,,OMX
ELI-849727873,78300,SEK,Sell,EquityListedOption,52.2,42720,42461,P,1180,1050,EUR,OMX
ELI-849441353,337000,SEK,Sell,EquityFuture,1348,42475,42460,,,,,OMX
ELI-849441352,6850,SEK,Buy,EquityListedOption,6.85,42475,42460,C,1380,500,EUR,OMX
ELI-849125626,134300,SEK,Buy,EquityFuture,1343,42538,42459,,,,,OMX
ELI-849125625,4450,SEK,Sell,EquityListedOption,4.45,42538,42459,C,1480,500,EUR,OMX
ELI-849091177,153755,SEK,Sell,EquityFuture,1337,42510,42459,,,,,OMX
ELI-849091147,4000,SEK,Buy,EquityListedOption,8,42510,42459,P,1200,350,EUR,OMX
ELI-849091146,13050,SEK,Sell,EquityListedOption,26.1,42510,42459,P,1300,0,EUR,OMX
ELI-849040435,556500,SEK,Sell,EquityFuture,1325,42629,42459,,,,,OMX
ELI-849040434,67000,SEK,Sell,EquityListedOption,67,42629,42459,P,1300,500,EUR,OMX
ELI-848183560,575960,SEK,Buy,EquityFuture,1309,42720,42453,,,,,OMX
ELI-848183869,287980,SEK,Buy,EquityFuture,1309,42720,42453,,,,,OMX
ELI-848183561,97250,SEK,Buy,EquityListedOption,97.25,42720,42453,P,1300,500,EUR,OMX
ELI-846809693,242100,SEK,Sell,EquityFuture,1345,42538,42447,,,,,OMX
ELI-846809690,19500,SEK,Sell,EquityListedOption,39,42538,42447,P,1300,250,EUR,OMX
ELI-846780024,51850,SEK,Sell,EquityListedOption,51.85,42720,42447,P,1180,700,EUR,OMX
ELI-846780025,346580,SEK,Sell,EquityFuture,1333,42720,42447,,,,,OMX
ELI-846393350,39250,SEK,Sell,EquityListedOption,39.25,42720,42446,P,1100,500,EUR,OMX
ELI-846393349,250420,SEK,Sell,EquityFuture,1318,42720,42446,,,,,OMX
ELI-846266335,693160,SEK,Buy,EquityFuture,1333,42475,42446,,,,,OMX
ELI-846266334,35900,SEK,Buy,EquityListedOption,35.9,42475,42446,P,1340,500,EUR,OMX
ELI-845898763,546940,SEK,Buy,EquityFuture,1334,42629,42445,,,,,OMX
ELI-845898762,73000,SEK,Buy,EquityListedOption,73,42629,42445,P,1300,500,EUR,OMX
ELI-845885999,388080,SEK,Buy,EquityFuture,1386,42447,42445,,,,,OMX
ELI-845885997,1500,SEK,Sell,EquityListedOption,1.5,42447,42445,C,1420,0,EUR,OMX
ELI-845885998,3500,SEK,Buy,EquityListedOption,3.5,42447,42445,P,1360,500,EUR,OMX
ELI-845600935,1800,SEK,Buy,EquityListedOption,3.6,42447,42444,P,1360,250,EUR,OMX
