,Loan_ID,Gender,Dependents,Education,Self_Employed,Credit_History,Property_Area,value_no
127,LP001663,1,2,1,-1,1.0,1,12.0
128,LP001667,1,0,1,-1,1.0,1,7.902
129,LP001695,1,1,-1,-1,1.0,0,-0.0474428571429
130,LP001703,1,0,1,-1,1.0,1,9.6764516129
131,LP001718,1,0,1,-1,1.0,-1,9.24818181818
132,LP001728,1,1,1,1,1.0,-1,11.4617142857
133,LP001735,-1,1,1,-1,1.0,1,14.48
134,LP001737,1,0,1,-1,1.0,1,4.04819277108
135,LP001739,1,0,1,-1,1.0,1,12.26304
136,LP001742,1,2,1,-1,1.0,-1,11.0204081633
137,LP001757,1,1,1,-1,1.0,-1,6.042
138,LP001769,1,-1,1,-1,1.0,0,10.908
139,LP001771,-1,3,1,-1,-1.0,0,14.2706796117
140,LP001785,1,0,1,-1,0.0,-1,11.3448
141,LP001787,1,3,1,-1,1.0,-1,7.4136
142,LP001789,1,3,-1,-1,0.0,1,17.595971223
143,LP001791,1,0,1,1,-1.0,0,20.9454545455
144,LP001794,1,2,1,1,1.0,-1,0.502615384615
145,LP001797,-1,0,1,-1,1.0,1,25.882
146,LP001815,1,0,-1,-1,1.0,0,13.104
147,LP001817,1,0,-1,1,0.0,-1,15.744120603
148,LP001818,1,1,1,-1,1.0,0,12.2814388489
149,LP001822,1,0,1,-1,1.0,1,14.16
150,LP001827,1,0,1,-1,1.0,1,6.142
151,LP001831,1,0,1,-1,1.0,1,8.86619469027
152,LP001842,1,0,1,-1,1.0,-1,12.1621621622
153,LP001853,1,1,-1,-1,0.0,1,7.57846153846
154,LP001855,1,2,1,-1,1.0,-1,24.275
155,LP001857,1,0,-1,1,1.0,0,3.8376
156,LP001862,1,2,1,1,1.0,1,7.14280373832
157,LP001867,1,0,1,-1,1.0,-1,11.4026315789
158,LP001878,1,1,1,-1,1.0,0,11.2100534759
159,LP001881,1,0,-1,-1,1.0,-1,19.8755244755
160,LP001886,1,0,1,-1,1.0,-1,7.14832535885
161,LP001906,1,0,1,-1,0.0,0,12.7028571429
162,LP001909,1,0,1,-1,1.0,1,17.3265517241
163,LP001911,-1,0,1,-1,1.0,-1,14.9981538462
164,LP001921,1,1,1,-1,-1.0,-1,9.54
165,LP001923,1,0,-1,-1,0.0,0,4.80282352941
166,LP001933,1,2,-1,-1,0.0,1,3.423
167,LP001943,1,0,1,-1,1.0,1,8.112
168,LP001950,-1,3,1,-1,0.0,0,6.70212765957
169,LP001959,-1,1,1,-1,1.0,-1,16.2410126582
170,LP001961,-1,0,1,-1,1.0,-1,12.9534545455
171,LP001973,1,2,-1,-1,1.0,-1,12.4144615385
172,LP001975,1,0,1,-1,1.0,-1,13.1538461538
173,LP001979,1,0,1,-1,0.0,1,3.41547169811
174,LP001995,1,0,-1,-1,0.0,-1,7.956
175,LP001999,1,2,1,-1,1.0,-1,11.052
176,LP002007,1,2,-1,-1,1.0,1,6.87022900763
177,LP002009,-1,0,1,-1,-1.0,-1,16.1612307692
178,LP002016,1,2,1,-1,1.0,-1,12.9096503497
179,LP002017,1,3,1,-1,-1.0,1,29.4776470588
180,LP002018,1,2,1,-1,1.0,0,8.9055
181,LP002027,1,0,1,-1,1.0,0,9.456
182,LP002028,1,2,1,-1,1.0,1,14.2625454545
183,LP002042,-1,1,1,-1,1.0,-1,8.32369942197
184,LP002045,1,3,1,-1,1.0,1,-0.0677733333333
185,LP002046,1,0,-1,-1,-1.0,0,11.9546666667
186,LP002047,1,2,-1,-1,1.0,0,10.8504
187,LP002056,1,2,1,-1,1.0,0,14.0430638298
188,LP002057,1,0,-1,-1,1.0,-1,-4709.88
189,LP002059,1,2,1,-1,1.0,-1,8.43642857143
190,LP002062,-1,1,1,-1,1.0,-1,2.75736363636
191,LP002064,1,0,1,-1,1.0,1,15.31125
192,LP002069,1,2,-1,-1,0.0,-1,7.57
193,LP002070,1,3,-1,-1,0.0,-1,7.464375
194,LP002077,1,1,1,-1,1.0,0,8.73786407767
195,LP002083,1,0,1,1,1.0,1,18.1024137931
196,LP002090,1,1,1,-1,0.0,0,15.1452631579
197,LP002096,1,0,-1,-1,1.0,-1,6.26086956522
198,LP002099,1,2,1,-1,0.0,1,8.79230769231
199,LP002102,1,0,1,1,1.0,-1,7.77272727273
200,LP002105,1,0,1,1,1.0,-1,38.6933333333
201,LP002107,1,3,-1,-1,1.0,1,11.42
202,LP002111,1,-1,1,-1,-1.0,1,10.8576
203,LP002117,-1,0,1,-1,1.0,0,10.53
204,LP002118,-1,0,1,-1,1.0,0,8.94
205,LP002123,1,0,1,-1,1.0,0,7.64780487805
206,LP002125,1,1,1,-1,1.0,0,9.5486631016
207,LP002148,1,1,1,-1,1.0,0,7.5797260274
208,LP002152,-1,0,1,-1,1.0,1,18.9585
209,LP002165,1,1,-1,-1,1.0,-1,7.3368
210,LP002167,-1,0,1,-1,1.0,1,15.4603636364
211,LP002168,1,0,1,-1,0.0,-1,9.5994
212,LP002172,1,3,1,1,1.0,0,12.9216
213,LP002176,1,0,1,-1,1.0,-1,13.6992
214,LP002183,1,0,-1,-1,1.0,-1,-0.031813559322
215,LP002184,1,0,-1,-1,1.0,1,5.828
216,LP002186,1,0,-1,-1,1.0,0,0.83806779661
217,LP002192,1,0,1,-1,1.0,-1,13.2962264151
218,LP002195,1,1,1,1,1.0,-1,5.95528301887
219,LP002208,1,1,1,-1,1.0,1,10.79136
220,LP002212,1,0,1,-1,-1.0,1,7.22
221,LP002240,1,0,-1,-1,1.0,-1,8.45637583893
222,LP002245,1,2,-1,-1,1.0,1,17.376
223,LP002253,-1,1,1,-1,1.0,-1,9.99078947368
224,LP002256,-1,2,1,1,0.0,0,9.97989304813
225,LP002257,-1,0,1,-1,1.0,1,12.3810810811
226,LP002264,1,0,1,-1,1.0,1,9.01058823529
227,LP002270,1,1,1,-1,1.0,-1,12.3696
228,LP002279,1,0,1,-1,1.0,-1,6.67938461538
229,LP002286,1,3,-1,-1,0.0,1,14.9184
230,LP002294,1,0,1,-1,1.0,0,41.292
231,LP002298,1,0,1,1,1.0,1,7.46086956522
232,LP002306,1,0,1,-1,1.0,-1,7.54071428571
233,LP002310,-1,1,1,-1,1.0,0,29.7391304348
234,LP002311,-1,0,1,-1,1.0,1,7.46653846154
235,LP002316,1,0,1,-1,0.0,1,4.56340909091
236,LP002321,-1,0,1,-1,0.0,0,6.99692307692
237,LP002325,1,2,-1,-1,1.0,-1,21.7623529412
238,LP002326,1,2,-1,-1,1.0,0,8.45495327103
239,LP002329,1,0,1,-1,1.0,1,31.5127272727
240,LP002333,1,0,-1,-1,1.0,1,13.1794285714
241,LP002339,1,0,1,-1,0.0,0,13.3268571429
242,LP002344,1,0,1,-1,1.0,0,12.0342857143
243,LP002346,1,0,1,-1,0.0,-1,7.31232
244,LP002354,-1,0,-1,-1,1.0,0,11.851875
245,LP002355,1,0,1,-1,0.0,0,3.8232
246,LP002358,1,2,1,1,1.0,1,12.0
247,LP002360,1,-1,1,-1,1.0,1,-3600.0
248,LP002375,1,0,-1,1,1.0,0,22.179375
249,LP002376,1,0,1,-1,1.0,-1,13.1625
250,LP002383,1,3,1,-1,0.0,1,10.9588732394
251,LP002385,1,-1,1,-1,1.0,0,16.5557142857
252,LP002389,-1,1,1,-1,1.0,0,11.0693129771
253,LP002394,1,2,1,-1,1.0,1,12.03
254,LP002397,-1,1,1,-1,1.0,1,11.7442105263
255,LP002399,1,0,1,-1,0.0,-1,8.36487804878
256,LP002400,-1,0,1,-1,1.0,-1,14.9986956522
257,LP002402,1,0,1,-1,1.0,1,7.49925
258,LP002412,1,0,1,-1,1.0,-1,7.16900662252
259,LP002415,-1,1,1,-1,-1.0,-1,8.22222222222
260,LP002417,1,3,-1,-1,1.0,0,5.87789473684
261,LP002420,1,0,1,-1,1.0,0,9.75927272727
262,LP002425,1,0,1,-1,-1.0,-1,12.3012
263,LP002433,1,1,1,-1,1.0,-1,28.9846153846
264,LP002440,1,2,1,-1,1.0,-1,5.8597826087
265,LP002441,1,-1,1,-1,-1.0,0,9.33652173913
266,LP002442,-1,1,-1,-1,0.0,1,16.4357142857
267,LP002445,-1,1,-1,-1,1.0,-1,11.8584615385
268,LP002450,1,2,1,-1,0.0,-1,42.8546938776
269,LP002471,1,0,1,-1,1.0,-1,12.7563636364
270,LP002476,-1,3,-1,-1,1.0,1,5.94545454545
271,LP002482,-1,0,1,1,1.0,-1,5.65981132075
272,LP002485,1,1,1,-1,1.0,0,37.1955
273,LP002495,1,2,1,-1,0.0,0,15.6932307692
274,LP002496,-1,0,1,-1,0.0,0,13.4042553191
275,LP002523,1,3,1,-1,1.0,0,9.24333333333
276,LP002542,1,0,1,-1,1.0,1,16.25
277,LP002550,-1,0,1,-1,1.0,0,9.44018181818
278,LP002551,1,3,-1,-1,0.0,0,7.43318181818
279,LP002553,1,0,1,-1,1.0,0,56.7574054054
280,LP002554,1,0,1,-1,1.0,0,6.39147540984
281,LP002561,1,0,1,-1,1.0,-1,14.2857142857
282,LP002566,-1,0,1,-1,-1.0,1,14.7466666667
283,LP002568,1,0,-1,-1,1.0,-1,26.5573770492
284,LP002570,-1,2,1,-1,1.0,1,7.82608695652
285,LP002572,1,1,1,-1,1.0,1,10.6060606061
286,LP002581,1,0,-1,-1,-1.0,-1,5.54657142857
287,LP002584,1,0,1,-1,1.0,-1,6.69735849057
288,LP002592,1,0,1,-1,1.0,1,12.7225531915
289,LP002593,1,1,1,-1,1.0,1,-2999.88
290,LP002599,1,0,1,-1,1.0,0,7.76541176471
291,LP002604,1,2,1,-1,1.0,1,7.8604137931
292,LP002605,1,0,-1,-1,1.0,-1,13.084
293,LP002609,-1,0,1,-1,0.0,1,9.16772727273
294,LP002610,1,1,-1,-1,1.0,1,5.04
295,LP002612,-1,0,1,-1,1.0,0,15.2342857143
296,LP002614,1,0,1,-1,1.0,0,21.5933333333
297,LP002630,1,0,-1,-1,1.0,-1,16.516626506
298,LP002635,-1,2,-1,-1,1.0,0,11.4738461538
299,LP002639,1,2,1,-1,1.0,-1,11.5875
300,LP002644,1,1,1,1,1.0,1,36.0
301,LP002651,1,1,1,-1,0.0,1,18.144
302,LP002654,-1,-1,1,1,1.0,-1,30.4820338983
303,LP002657,1,1,-1,1,1.0,-1,3.01764705882
304,LP002711,1,0,1,-1,1.0,0,9.75
305,LP002712,1,2,-1,-1,-1.0,0,5.466
306,LP002721,1,2,1,1,1.0,-1,14.7540983607
307,LP002735,1,2,-1,-1,1.0,-1,11.481322314
308,LP002744,1,1,1,-1,1.0,-1,15.1666666667
309,LP002745,1,0,1,-1,1.0,0,10.1127272727
310,LP002746,1,0,1,-1,1.0,1,13.013877551
311,LP002747,-1,3,1,-1,0.0,-1,5.56705882353
312,LP002754,1,-1,1,-1,1.0,1,1.66869230769
313,LP002759,1,2,1,-1,1.0,-1,12.0805369128
314,LP002760,-1,0,1,-1,1.0,1,8.43358208955
315,LP002766,-1,0,1,-1,1.0,0,8.57345454545
316,LP002769,-1,0,1,-1,1.0,-1,12.849
317,LP002774,1,0,-1,-1,0.0,1,9.13432835821
318,LP002775,1,0,-1,-1,1.0,-1,13.73184
319,LP002781,1,0,1,-1,1.0,1,9.249
320,LP002782,1,1,1,-1,1.0,-1,6.4872972973
321,LP002786,-1,0,-1,-1,1.0,1,3.27580110497
322,LP002790,1,3,1,-1,1.0,1,5.1
323,LP002791,1,1,1,-1,1.0,0,144.0
324,LP002793,1,0,1,-1,1.0,-1,21.332
325,LP002802,1,0,1,-1,0.0,0,0.181578947368
326,LP002803,1,1,-1,-1,1.0,0,7.67213114754
327,LP002805,1,2,1,-1,1.0,1,12.0984
328,LP002806,1,3,1,1,1.0,-1,16.6992
329,LP002816,1,1,1,-1,-1.0,0,12.1153846154
330,LP002823,1,0,1,-1,1.0,-1,13.8688111888
331,LP002825,1,3,1,-1,1.0,1,11.6388
332,LP002826,-1,1,-1,-1,1.0,1,7.62315789474
333,LP002843,-1,0,1,-1,1.0,0,15.0021238938
334,LP002849,1,0,1,-1,1.0,0,15.5931428571
335,LP002850,1,2,1,-1,1.0,1,18.7826086957
336,LP002853,-1,0,-1,-1,-1.0,1,7.48551724138
337,LP002856,1,0,1,-1,1.0,1,6.93378151261
338,LP002857,1,1,1,1,1.0,-1,6.51034482759
339,LP002858,-1,0,1,-1,0.0,-1,9.62888888889
340,LP002860,1,0,1,1,1.0,0,3.87
341,LP002867,1,0,1,1,1.0,-1,7.64663101604
342,LP002869,1,3,-1,-1,1.0,-1,7.82666666667
343,LP002870,1,1,1,-1,1.0,1,21.15
344,LP002876,1,0,1,-1,1.0,-1,14.0277272727
345,LP002878,1,3,1,-1,1.0,1,11.5393846154
346,LP002879,1,0,1,-1,0.0,-1,9.17864661654
347,LP002885,1,0,-1,-1,1.0,1,14.7497142857
348,LP002890,1,2,-1,-1,1.0,1,9.11466666667
349,LP002891,1,0,1,1,1.0,-1,5.47445255474
350,LP002899,1,2,1,-1,1.0,-1,12.2839370079
351,LP002901,1,0,1,-1,-1.0,-1,7.75358490566
352,LP002907,1,0,1,-1,1.0,1,19.2121100917
353,LP002920,1,0,1,-1,1.0,-1,15.357
354,LP002921,1,3,-1,-1,0.0,0,6.05620253165
355,LP002932,1,3,1,-1,1.0,1,13.8938071066
356,LP002935,1,1,1,-1,1.0,1,16.056
357,LP002952,1,0,1,-1,1.0,1,15.0
358,LP002954,1,2,-1,-1,-1.0,-1,14.8357894737
359,LP002962,1,0,1,-1,1.0,0,9.47368421053
360,LP002965,-1,0,1,-1,-1.0,1,32.0625
361,LP002969,1,1,1,-1,1.0,0,8.25090909091
362,LP002971,1,3,-1,1,1.0,1,12.7720353982
363,LP002975,1,0,1,-1,1.0,1,13.0163478261
364,LP002980,1,0,1,-1,-1.0,0,9.28571428571
365,LP002986,1,0,1,-1,1.0,-1,11.3924050633
366,LP002989,1,0,1,1,1.0,-1,16.8979591837
