,Gender,Dependents,Education,Self_Employed,Credit_History,Property_Area,Loan_Status,value_no
62,1,0,-1,1,0.0,-1,-1,2.84618181818
64,-1,0,1,-1,0.0,0,-1,12.9289655172
65,1,0,1,-1,1.0,0,-1,7.98976744186
66,1,0,-1,-1,0.0,1,-1,4.57142857143
67,1,1,1,-1,1.0,1,1,12.4038461538
68,1,3,-1,1,1.0,1,1,3.408
69,-1,0,1,-1,0.0,0,-1,11.3823529412
70,1,0,1,-1,1.0,1,1,6.71441860465
71,1,2,-1,1,1.0,0,1,6.9587628866
72,1,0,1,-1,1.0,0,1,12.962962963
74,1,3,1,1,1.0,0,1,10.1377540107
75,1,0,1,-1,1.0,1,-1,15.9292035398
76,1,0,1,-1,1.0,1,-1,7.67045454545
77,1,1,1,1,1.0,1,-1,3.27272727273
78,1,3,1,-1,0.0,0,-1,5.27833333333
79,1,3,-1,1,-1.0,0,1,9.22984615385
80,-1,0,1,-1,1.0,0,1,12.4735135135
82,-1,2,1,-1,1.0,1,-1,2.97053892216
83,1,0,1,-1,-1.0,0,-1,8.15094339623
84,1,1,1,-1,1.0,1,1,19.1424
85,1,0,1,-1,1.0,0,1,6.26294117647
86,1,2,-1,-1,-1.0,0,1,12.12
87,1,0,1,-1,1.0,0,1,8.65384615385
88,1,0,1,-1,1.0,1,1,14.6845714286
89,1,0,1,-1,1.0,0,1,11.7154285714
90,1,0,1,-1,1.0,0,1,8.12885496183
91,1,2,1,-1,1.0,0,1,5.98404255319
92,1,2,-1,-1,1.0,1,1,14.5466666667
93,1,0,1,-1,1.0,0,1,12.1957377049
94,1,0,-1,-1,1.0,0,1,17.376
96,-1,0,1,-1,1.0,0,1,6.52729927007
97,1,0,1,-1,1.0,0,1,14.2344
98,1,0,-1,-1,1.0,0,1,6.55513043478
99,1,0,1,-1,1.0,0,1,4.83389312977
100,1,2,-1,-1,1.0,1,1,5.80330827068
101,1,0,1,-1,1.0,0,1,11.5462251656
104,1,-1,1,-1,1.0,1,1,8.586
105,1,1,1,-1,1.0,1,1,10.9872
106,1,2,1,-1,1.0,1,1,18.2672
107,1,0,-1,-1,1.0,-1,-1,21.999
108,1,2,1,-1,0.0,1,-1,6.33333333333
109,1,3,-1,-1,1.0,0,1,10.5753191489
110,1,0,1,-1,1.0,1,1,14.0717647059
111,-1,0,1,-1,1.0,0,1,7.58589928058
114,1,0,1,-1,1.0,0,1,15.406779661
115,1,1,1,-1,1.0,-1,1,14.1888648649
116,-1,0,1,-1,1.0,0,1,7.40337662338
117,1,1,1,-1,-1.0,1,1,9.37694117647
118,1,0,1,-1,1.0,-1,-1,11.4541714286
119,-1,0,1,-1,1.0,1,1,14.4667181467
120,1,-1,1,-1,1.0,-1,1,11.334
121,-1,0,1,-1,1.0,0,1,34.0854545455
122,-1,0,1,-1,0.0,0,1,5.61547445255
123,1,2,1,-1,1.0,0,1,13.1422222222
124,1,0,-1,-1,1.0,-1,1,7.9793814433
125,-1,0,1,-1,-1.0,-1,1,14.2916129032
126,1,3,1,-1,1.0,-1,1,23.1596756757
128,1,1,1,1,0.0,1,-1,11.827125
129,1,0,1,-1,-1.0,-1,-1,12.0263736264
130,1,0,1,1,-1.0,1,1,14.8918153846
131,1,0,1,-1,1.0,1,1,9.79783783784
132,1,0,1,-1,1.0,0,1,13.9782857143
133,1,0,1,1,1.0,0,1,16.6032
134,1,0,1,-1,1.0,0,1,17.2764705882
135,1,3,1,-1,1.0,0,-1,4.96551724138
136,-1,0,1,-1,1.0,-1,-1,19.6414285714
137,1,2,1,1,1.0,1,1,13.5654545455
138,1,0,1,-1,0.0,0,-1,22.3125619835
139,1,2,-1,-1,1.0,-1,-1,11.7209302326
140,1,2,1,-1,1.0,-1,-1,9.81145945946
141,1,0,1,-1,1.0,1,1,11.6078571429
142,1,0,1,1,1.0,0,1,7.14857142857
143,1,0,1,-1,1.0,0,1,7.96131147541
144,1,2,1,-1,1.0,1,1,11.3168983957
145,-1,0,1,-1,1.0,0,1,8.388
146,-1,2,1,-1,1.0,1,1,76.4537142857
147,1,1,1,-1,1.0,1,1,18.456
148,-1,0,1,-1,1.0,-1,-1,16.0
149,1,0,1,-1,1.0,0,1,13.9968
150,1,0,1,-1,0.0,-1,-1,19.1501694915
151,1,0,1,1,1.0,-1,1,6.10342105263
152,1,0,1,-1,1.0,1,-1,13.5236065574
153,1,2,-1,-1,1.0,-1,-1,7.26690265487
154,1,0,1,-1,1.0,1,1,23.4288
155,1,3,1,-1,0.0,0,1,11.9997
156,1,1,1,-1,-1.0,-1,1,13.5
157,1,1,1,-1,1.0,1,1,18.3619251337
158,1,0,1,-1,1.0,-1,1,8.94
159,1,0,1,-1,1.0,0,1,6.47011764706
160,1,0,-1,-1,1.0,0,1,6.84367346939
161,1,0,1,-1,1.0,1,-1,10.3850181818
162,1,1,1,-1,0.0,0,-1,9.19041322314
163,1,2,1,-1,1.0,-1,1,9.49443037975
164,1,0,1,-1,1.0,1,1,22.3752
166,-1,0,1,-1,1.0,-1,-1,14.7310714286
167,1,0,1,-1,1.0,-1,1,6.80651162791
168,1,0,1,-1,0.0,0,-1,17.0438095238
169,1,2,1,-1,1.0,0,1,14.4
170,1,0,-1,-1,1.0,-1,1,6.89684210526
171,1,3,1,-1,1.0,1,1,22.1841428571
172,1,3,-1,-1,1.0,-1,-1,7.82666666667
173,1,0,1,-1,1.0,0,1,10.9886631016
174,1,0,-1,1,1.0,0,-1,17.9751724138
175,1,0,1,-1,1.0,-1,1,10.8527586207
176,1,2,1,-1,1.0,-1,1,7.28910891089
177,1,3,1,-1,0.0,0,-1,4.01163636364
178,1,1,1,-1,1.0,0,1,11.6379310345
179,1,0,-1,-1,0.0,1,-1,10.9788235294
180,1,1,1,-1,0.0,1,-1,12.8
181,1,0,1,-1,-1.0,-1,-1,10.2949253731
182,1,0,1,-1,1.0,0,1,11.3424657534
183,1,1,1,-1,1.0,0,-1,46.8636923077
184,-1,0,1,-1,1.0,0,1,12.0833333333
185,1,0,1,1,1.0,0,1,117.441
186,1,1,1,1,0.0,-1,-1,9.9
187,1,0,1,-1,-1.0,-1,1,14.7910344828
188,1,0,1,1,1.0,-1,1,1.44428571429
189,1,0,1,-1,1.0,-1,1,8.93106382979
190,1,0,-1,-1,1.0,-1,1,36.6375
191,1,0,1,-1,1.0,0,-1,26.3414634146
192,1,0,-1,-1,1.0,1,-1,13.57425
193,1,0,1,-1,1.0,0,1,18.2747368421
194,1,0,1,-1,1.0,-1,1,12.573
195,1,1,1,-1,1.0,0,-1,6.61764705882
196,1,0,1,-1,1.0,-1,1,16.0421390374
198,-1,0,1,-1,-1.0,0,1,10.8828318584
199,1,0,1,1,1.0,1,-1,47.7108433735
200,1,1,-1,-1,1.0,0,1,10.4
201,1,2,1,-1,0.0,0,1,10.6763855422
203,1,1,-1,-1,1.0,1,1,9.33333333333
204,1,2,-1,-1,1.0,0,1,11.3719354839
205,-1,0,-1,-1,1.0,0,1,13.224
206,-1,0,1,-1,1.0,1,1,14.598
207,1,0,-1,-1,1.0,-1,1,26.0181818182
208,1,0,1,-1,1.0,1,1,15.1261016949
209,1,0,1,-1,1.0,0,-1,9.68881889764
210,-1,0,1,-1,1.0,0,-1,16.8224299065
211,1,3,1,-1,0.0,0,-1,9.646875
212,1,1,1,1,1.0,1,1,11.6805
213,1,3,-1,1,1.0,-1,1,15.7929230769
214,1,0,1,-1,1.0,1,1,8.33781021898
215,1,3,-1,-1,1.0,0,1,13.86
216,1,0,1,-1,1.0,-1,-1,0.4
217,1,0,1,-1,1.0,0,1,10.2421374046
218,1,2,1,-1,0.0,0,-1,25.0
219,-1,2,1,-1,-1.0,0,1,12.1407874016
220,1,0,1,-1,0.0,1,-1,13.326
221,1,2,1,-1,1.0,0,1,12.4417241379
222,1,0,1,-1,1.0,0,1,7.4275
224,1,0,1,-1,1.0,0,1,17.578125
225,1,0,1,-1,1.0,-1,-1,6.88235294118
226,1,-1,-1,1,1.0,1,-1,12.352173913
227,1,2,1,-1,1.0,0,1,10.7142857143
228,1,-1,1,-1,1.0,0,1,14.4546835443
229,1,0,1,1,1.0,-1,1,11.52
230,1,1,1,-1,1.0,0,1,8.62269230769
231,1,0,1,-1,1.0,-1,1,15.9257142857
233,-1,0,1,-1,1.0,0,1,10.7138571429
234,1,1,1,-1,1.0,0,1,8.11285714286
235,1,1,1,-1,1.0,-1,1,11.6470588235
236,1,0,1,-1,-1.0,1,-1,8.112
237,-1,0,1,1,-1.0,1,1,10.2186885246
238,-1,1,1,-1,1.0,-1,1,12.2528571429
239,1,1,1,-1,1.0,0,1,12.43125
240,1,2,1,-1,1.0,-1,1,17.457
241,1,1,-1,-1,1.0,1,-1,3.22714285714
242,1,0,1,-1,1.0,1,1,1.14774193548
243,1,2,1,1,1.0,-1,1,20.8333333333
244,1,0,-1,-1,1.0,0,1,9.9687804878
245,1,0,1,1,1.0,1,-1,9.075
246,1,2,1,-1,1.0,1,1,31.1882142857
247,1,1,-1,-1,1.0,1,1,8.68204379562
248,1,1,1,-1,1.0,0,1,11.2468292683
249,1,0,1,-1,1.0,1,1,7.236
250,1,0,-1,-1,0.0,0,-1,2.98746268657
251,-1,2,1,-1,1.0,1,-1,8.94
252,1,0,-1,1,1.0,-1,1,8.94115384615
253,1,1,-1,-1,1.0,0,1,1.71677419355
254,1,0,1,1,0.0,1,-1,30.46875
255,-1,3,1,-1,1.0,-1,1,4.35247058824
256,1,0,-1,-1,0.0,-1,-1,18.9234782609
257,1,3,1,-1,1.0,1,-1,20.1063829787
258,1,0,1,-1,1.0,-1,-1,17.3877631579
259,1,3,-1,-1,-1.0,0,-1,13.8684375
260,1,1,1,-1,-1.0,1,1,6.636
261,1,0,1,-1,1.0,0,1,5.53432835821
262,-1,1,1,-1,1.0,0,-1,0.808490322581
263,-1,0,1,-1,1.0,-1,1,21.6
264,1,0,1,1,1.0,0,1,14.529375
265,1,0,1,-1,1.0,-1,1,9.76291390728
266,1,2,1,-1,1.0,0,1,11.2992
267,1,3,1,-1,0.0,1,1,9.74925
268,-1,0,1,-1,1.0,-1,-1,9.11466666667
269,-1,1,1,-1,1.0,1,1,11.504
270,-1,0,1,-1,1.0,1,1,38.844
271,1,0,1,-1,1.0,1,1,29.5041176471
272,1,0,1,-1,1.0,-1,1,8.09428571429
273,1,0,1,-1,1.0,0,1,6.288
274,1,2,1,-1,1.0,0,1,15.6
275,1,1,1,-1,1.0,0,1,8.60869565217
276,1,0,1,-1,1.0,0,1,6.94434782609
277,1,0,1,-1,1.0,1,1,13.9635
278,1,0,1,-1,1.0,0,1,12.0410091743
279,-1,0,-1,-1,-1.0,-1,1,11.9032258065
280,1,1,-1,1,0.0,1,-1,9.2346835443
281,1,0,1,-1,1.0,0,1,12.6225
282,1,2,1,-1,1.0,1,1,5.31
283,-1,0,1,-1,1.0,1,1,12.0733333333
285,1,0,1,-1,1.0,-1,1,12.7739325843
286,-1,0,1,1,1.0,0,-1,7.87878787879
287,1,0,1,-1,1.0,-1,1,11.112
288,-1,0,1,-1,1.0,0,1,12.9099130435
289,1,0,1,-1,1.0,-1,1,18.304171123
290,1,0,1,-1,1.0,-1,1,7.96402877698
291,1,2,1,-1,0.0,0,-1,12.4724409449
292,1,2,1,-1,1.0,1,1,8.47074626866
293,-1,-1,1,-1,0.0,1,-1,18.1829370629
294,1,0,1,-1,1.0,0,1,4.9876744186
295,1,3,1,-1,1.0,1,1,14.4523636364
296,1,1,1,-1,1.0,0,1,12.375
297,-1,1,1,-1,1.0,1,1,12.4426666667
298,-1,0,1,-1,1.0,-1,-1,15.8940397351
299,1,1,1,-1,1.0,1,-1,6.41628318584
300,1,0,-1,-1,0.0,1,-1,6.96774193548
301,1,-1,-1,-1,1.0,0,1,9.85714285714
302,-1,0,1,-1,1.0,-1,1,13.6363636364
303,1,1,1,-1,1.0,1,1,6.09375
304,1,0,1,-1,1.0,-1,1,10.2857142857
306,-1,0,1,-1,1.0,-1,1,10.032
307,-1,0,1,-1,0.0,1,-1,8.30769230769
308,1,0,1,-1,1.0,-1,-1,15.17475
309,1,2,-1,-1,-1.0,-1,1,14.9195675676
310,-1,0,1,-1,1.0,0,1,12.5014285714
311,1,0,-1,-1,1.0,0,1,9.49297297297
312,-1,0,1,-1,1.0,-1,1,16.1164285714
313,1,2,1,1,-1.0,-1,1,3.35183333333
314,1,0,1,-1,1.0,-1,-1,5.59924528302
315,1,1,-1,-1,1.0,1,1,5.51189189189
316,1,2,1,-1,1.0,0,1,11.151
317,1,0,1,-1,-1.0,1,1,8.41909090909
318,-1,1,1,-1,-1.0,0,1,11.3817857143
319,1,1,1,1,1.0,-1,-1,23.2258064516
320,1,0,1,-1,1.0,0,1,7.51304347826
321,1,3,1,-1,1.0,0,1,12.6058064516
323,-1,0,1,-1,-1.0,-1,1,8.63454545455
324,1,3,1,-1,1.0,-1,1,18.0
325,1,1,1,1,0.0,-1,-1,8.29723404255
326,1,0,1,-1,0.0,-1,1,13.6163076923
327,1,0,1,1,1.0,0,1,11.3830434783
328,-1,0,1,-1,1.0,1,-1,14.1807272727
329,-1,0,1,-1,1.0,1,1,13.4328358209
330,1,1,1,-1,1.0,1,1,13.4892307692
331,1,0,1,-1,1.0,0,1,10.7816326531
332,1,-1,1,-1,1.0,1,1,14.3645070423
333,1,0,1,-1,1.0,1,1,23.2666530612
334,1,1,1,1,1.0,1,1,9.72494505495
336,1,1,1,-1,1.0,-1,1,11.8125
337,1,2,1,1,1.0,-1,1,5.11363636364
339,-1,0,1,-1,1.0,0,1,21.0929577465
340,1,3,-1,-1,1.0,-1,-1,5.50820809249
341,-1,0,1,-1,1.0,-1,-1,18.6104347826
342,1,1,-1,-1,1.0,1,1,10.3762025316
343,1,3,-1,-1,1.0,0,1,15.4362162162
344,1,2,1,-1,1.0,-1,1,7.43904
345,1,0,1,-1,1.0,0,1,5.62275
346,1,-1,-1,-1,0.0,-1,-1,8.34394736842
347,1,2,-1,-1,1.0,1,1,8.80857142857
348,1,0,1,-1,-1.0,0,1,8.80262548263
349,1,0,1,-1,1.0,-1,1,5.05347593583
350,1,0,1,-1,1.0,0,1,14.3415789474
351,1,0,1,-1,1.0,-1,-1,10.2272727273
352,1,3,1,-1,1.0,-1,1,10.1027368421
353,-1,0,1,1,0.0,-1,-1,18.8571428571
354,-1,0,1,-1,1.0,0,1,6.70984615385
355,-1,-1,1,-1,1.0,1,1,5.91672413793
356,1,2,1,-1,1.0,-1,1,18.1810909091
357,1,1,1,-1,1.0,1,-1,20.8208955224
358,1,0,-1,-1,0.0,1,-1,14.4
359,1,3,1,-1,1.0,0,1,9.3006
360,-1,1,1,-1,1.0,0,-1,20.9911111111
361,1,2,1,-1,1.0,0,1,7.62711864407
362,1,0,1,-1,1.0,1,1,13.1538461538
363,1,0,1,-1,-1.0,1,1,9.51473684211
364,1,0,1,1,1.0,-1,1,17.4178723404
365,1,0,-1,-1,1.0,-1,-1,16.8252631579
366,1,0,1,-1,1.0,0,-1,12.5
368,1,1,1,-1,1.0,0,1,13.0114285714
369,1,0,1,-1,1.0,-1,-1,12.4610526316
370,-1,0,1,1,1.0,0,1,103.149818182
371,1,2,1,-1,1.0,0,1,12.0425806452
372,1,2,1,1,1.0,-1,1,7.36026315789
373,1,1,1,-1,0.0,1,-1,4.96540540541
374,-1,0,1,-1,1.0,1,1,9.04581818182
375,1,0,1,-1,1.0,1,1,7.2255
376,1,3,1,-1,1.0,-1,1,24.2307692308
377,1,0,1,-1,-1.0,0,1,11.9353846154
378,1,0,1,-1,1.0,1,-1,20.7481690141
379,1,2,1,-1,1.0,1,1,14.9289230769
380,1,0,1,-1,1.0,0,1,9.3740625
381,1,0,1,-1,1.0,0,1,7.22554054054
382,-1,0,1,-1,1.0,1,1,13.8461538462
383,1,0,1,1,1.0,1,1,20.1571875
384,1,2,1,-1,1.0,1,-1,16.4376
385,1,1,1,-1,1.0,1,1,5.84123893805
386,1,0,-1,-1,1.0,0,1,6.39818181818
388,1,0,1,-1,1.0,1,1,6.17558823529
389,1,0,1,-1,1.0,-1,1,15.80544
390,1,3,1,-1,1.0,-1,1,17.8384864865
391,1,3,1,-1,1.0,-1,1,12.4416
392,1,0,1,-1,-1.0,1,1,7.749
393,1,2,-1,-1,1.0,0,1,3.17469026549
394,1,2,1,-1,1.0,1,1,9.87610619469
395,1,2,1,-1,-1.0,0,1,8.736
396,-1,0,1,-1,0.0,1,-1,16.123943662
397,1,0,1,-1,1.0,1,1,11.4934736842
398,1,0,-1,-1,1.0,-1,1,12.8873394495
399,-1,0,1,-1,0.0,0,-1,5.2427184466
400,1,2,-1,-1,0.0,1,-1,11.556
401,1,0,-1,-1,1.0,-1,-1,12.7153846154
402,1,0,1,-1,1.0,0,1,8.73786407767
403,-1,0,-1,-1,1.0,0,1,13.3335849057
404,-1,0,1,1,1.0,-1,-1,13.8080412371
405,-1,0,1,-1,1.0,0,1,14.2340869565
406,1,0,-1,-1,1.0,1,1,6.78365217391
407,-1,0,-1,-1,1.0,-1,1,12.0709090909
408,1,1,1,-1,0.0,0,-1,16.3815789474
409,1,3,1,-1,0.0,-1,-1,81.0
410,-1,1,-1,1,1.0,0,-1,22.4535483871
411,1,0,1,-1,-1.0,1,1,14.076
412,1,0,-1,-1,0.0,-1,-1,10.0667889908
413,1,0,-1,-1,1.0,-1,1,7.37345454545
414,-1,0,-1,-1,0.0,0,-1,4.34629213483
415,-1,0,1,-1,1.0,1,1,17.97
416,-1,1,1,-1,1.0,1,-1,5.85
417,1,2,1,1,1.0,1,-1,2.410041841
418,1,0,1,-1,1.0,-1,1,3.29464285714
419,1,0,1,-1,1.0,0,1,8.46782608696
420,1,0,1,-1,1.0,-1,1,15.2060869565
422,1,0,1,-1,1.0,1,1,6.552
424,1,0,1,-1,1.0,0,1,55.8
425,1,0,1,-1,1.0,-1,1,7.93190082645
426,-1,1,-1,-1,1.0,-1,-1,20.4711111111
427,1,2,1,-1,1.0,0,1,16.0646616541
428,1,0,1,-1,1.0,-1,1,12.0827586207
429,1,0,-1,-1,1.0,1,1,8.151
430,-1,1,1,1,1.0,0,1,20.6976
431,1,0,1,-1,0.0,-1,-1,22.2857142857
432,1,0,1,-1,1.0,0,1,11.4453333333
433,1,0,1,-1,1.0,0,1,6.1048951049
434,1,0,1,-1,1.0,1,1,13.5
436,1,0,1,-1,1.0,0,1,13.8672
438,1,0,1,1,0.0,1,-1,20.0521925134
439,-1,0,-1,1,1.0,-1,1,18.6313043478
440,1,0,1,-1,1.0,0,1,7.04598930481
441,1,0,1,-1,1.0,-1,1,15.802
442,1,3,-1,-1,1.0,0,1,11.4494594595
443,1,1,1,-1,1.0,0,1,89.3344736842
444,1,0,1,-1,-1.0,-1,1,12.5708571429
445,1,1,1,1,1.0,-1,1,9.59815384615
446,1,2,-1,-1,1.0,-1,1,15.2247272727
447,1,0,1,-1,1.0,-1,-1,23.1643636364
448,1,2,1,-1,0.0,-1,-1,8.016
449,1,1,-1,1,-1.0,0,-1,5.24652631579
450,1,2,-1,-1,0.0,-1,-1,6.64992
451,1,2,-1,-1,-1.0,1,1,9.79
452,1,0,1,-1,0.0,-1,-1,9.53879194631
453,1,0,1,-1,0.0,-1,1,4.966
454,1,0,1,1,1.0,0,1,30.3642857143
455,1,2,1,-1,1.0,0,1,14.47125
456,1,0,1,-1,1.0,1,1,13.1216949153
457,1,0,1,-1,1.0,1,-1,7.71606936416
458,1,2,1,-1,1.0,-1,1,11.5252941176
459,1,0,1,-1,1.0,0,-1,18.7515
460,1,0,1,1,-1.0,0,1,4.68675
461,1,3,1,-1,1.0,1,1,10.884375
462,1,0,1,-1,1.0,-1,1,7.09411764706
463,-1,1,-1,-1,1.0,0,1,14.1572727273
464,1,0,1,-1,0.0,0,-1,15.3036734694
465,1,0,1,-1,1.0,-1,1,15.4285714286
466,1,3,-1,-1,0.0,1,-1,7.578
467,1,0,1,-1,1.0,0,1,54.6283636364
468,-1,2,-1,-1,1.0,0,1,0.771428571429
469,1,0,1,-1,1.0,1,-1,14.1807272727
470,1,1,1,1,1.0,0,1,7.66666666667
471,1,1,-1,-1,0.0,-1,-1,4.22601769912
472,1,3,1,-1,1.0,0,1,16.8876
473,-1,0,1,1,-1.0,1,1,9.67741935484
474,1,2,1,-1,1.0,-1,1,12.2933333333
475,1,2,1,1,1.0,-1,1,39.66
476,1,2,1,-1,1.0,0,1,8.73913043478
477,1,2,1,-1,0.0,0,-1,7.83545454545
478,1,1,1,1,1.0,0,1,69.7688372093
480,-1,0,-1,-1,1.0,-1,1,10.1688311688
481,1,3,-1,-1,1.0,-1,1,9.86017699115
482,1,0,1,-1,1.0,0,1,5.8584375
483,1,0,1,-1,1.0,0,1,16.6661538462
484,1,2,1,-1,1.0,0,1,12.1946341463
485,1,1,-1,-1,1.0,-1,1,5.38076335878
486,1,2,1,-1,0.0,-1,-1,15.9615
487,1,1,1,-1,1.0,1,-1,13.19976
488,1,2,1,1,1.0,0,1,10.31175
489,1,0,1,-1,1.0,1,-1,11.688
490,1,0,-1,-1,-1.0,0,1,10.12125
491,1,1,-1,-1,-1.0,1,1,10.3219354839
492,1,0,-1,-1,1.0,-1,1,12.0796363636
493,-1,0,-1,1,1.0,0,1,27.6208
494,1,0,1,-1,0.0,-1,-1,10.8816806723
495,-1,1,1,-1,1.0,0,1,2.6608
496,1,0,-1,-1,1.0,-1,1,8.7476635514
497,1,0,1,-1,-1.0,1,1,0.5
498,1,1,1,1,1.0,0,1,10.9705263158
499,1,0,1,-1,0.0,-1,-1,10.8223923445
500,-1,0,1,-1,1.0,-1,1,2.73982300885
501,-1,0,1,-1,1.0,0,1,11.3724
502,1,2,1,-1,1.0,0,1,8.42019230769
503,1,1,-1,-1,-1.0,-1,-1,10.5652173913
504,1,0,-1,-1,1.0,0,1,9.22741935484
505,1,2,1,-1,1.0,-1,1,5.2
506,1,0,1,-1,-1.0,1,1,15.62475
507,1,0,1,-1,1.0,1,-1,13.43625
508,1,0,1,1,1.0,1,1,4.7470212766
509,-1,1,1,-1,1.0,1,1,119.358
510,1,0,-1,-1,1.0,-1,-1,12.9528
511,1,1,1,-1,1.0,0,1,8.7336
512,1,2,1,-1,1.0,1,1,7.98567567568
513,1,0,1,-1,1.0,0,-1,5.47714285714
514,1,0,1,-1,1.0,-1,-1,6.73118971061
515,1,3,1,-1,1.0,-1,1,8.3184
516,-1,2,1,-1,1.0,0,1,8.62725663717
517,1,-1,-1,-1,0.0,0,-1,8.99707317073
518,1,0,1,-1,1.0,0,-1,9.11286486486
519,-1,0,-1,-1,1.0,-1,-1,12.8842105263
520,1,2,-1,-1,1.0,0,1,17.536
521,1,0,1,-1,1.0,0,1,16.3636363636
522,1,3,1,1,1.0,-1,1,20.4372
523,1,2,1,1,1.0,-1,1,5.961
525,1,2,1,1,1.0,-1,1,15.75
526,1,0,1,-1,1.0,0,1,12.3545454545
527,1,1,-1,-1,0.0,0,1,11.8173913043
528,1,1,-1,-1,1.0,0,1,10.26
529,1,0,-1,-1,1.0,0,1,18.7836923077
530,1,0,1,-1,-1.0,-1,1,1.70833333333
531,1,3,1,-1,1.0,1,1,15.4116
532,1,2,1,-1,0.0,-1,-1,11.7425454545
533,1,1,1,-1,-1.0,0,-1,20.6632653061
534,-1,0,-1,1,1.0,1,1,52.3152
535,1,0,-1,-1,1.0,-1,1,7.28571428571
536,1,0,1,-1,1.0,1,1,6.81444444444
537,1,2,1,-1,1.0,0,1,12.1693457944
538,1,0,-1,-1,1.0,-1,-1,15.9109090909
539,1,3,1,-1,1.0,-1,1,7.35707006369
540,-1,1,1,-1,1.0,0,1,5.92457142857
541,-1,0,1,-1,0.0,0,-1,7.77454545455
542,-1,1,1,-1,1.0,0,1,13.8391578947
543,1,1,-1,-1,1.0,1,1,6.2971875
544,-1,0,-1,-1,-1.0,0,1,10.6482352941
545,1,0,1,-1,1.0,-1,1,6.42890322581
546,1,0,-1,-1,1.0,0,-1,1.5111
547,1,0,1,-1,1.0,-1,1,6.27144827586
548,-1,0,1,-1,0.0,0,-1,17.4757281553
549,1,0,1,-1,1.0,-1,1,9.11454545455
552,1,1,1,-1,1.0,1,1,7.59417721519
553,1,0,-1,-1,0.0,1,-1,4.8808839779
554,1,0,1,-1,0.0,-1,-1,4.89954545455
555,1,1,1,-1,1.0,0,1,75.7107692308
556,-1,0,1,-1,-1.0,1,1,11.43
557,1,3,1,1,1.0,0,1,14.0386153846
558,1,0,1,-1,1.0,0,1,8.63777777778
559,-1,0,1,-1,1.0,0,1,8.26813186813
560,1,2,-1,-1,1.0,0,1,12.25
561,-1,1,1,1,1.0,0,1,11.6904
562,1,0,1,-1,1.0,-1,1,10.1055924171
563,1,0,-1,1,1.0,0,1,15.8181818182
564,1,2,1,-1,0.0,1,-1,12.2776744186
