S.No,Outcome,JA_SCORE,FR_SCORE,BWA_SCORE,GESAMT_SCORE,krf,PD,Ertrag_marge,start_EAD,LGD_rest_Ecosfera_avg,LGD_12_Ecosfera,bonitaetsindex,std_krediturteil,VC_umsatz,default,v_verlust_aug,verlust,A_FLAG_NEUGESCHAEFT,EIP_BLANKO,EIP_PBLANKO,EIP_BSG,EIP_PBSG,EIP_GESAMTENGA,EIP_PROTONEUENGA,EIP_PROTONEUSICHERHEITEN,EIP_EWB,V_VOTIERUNGSDATUM,SRK_LGD_rest_Ecosfera_avg,SRK_LGD_12_Ecosfera
3793,1,0.05819,0.04187,0.12481,0.04411,6,0.0628,0,0,0,0,201,41,5500000,0,0,0,0,100175.24,11000,0.7932,0.9628,1000000,0,0,0,19APR2012:14:31:27.689000,0,0
243,1,0.06095,0.09858,0.11009,0.08765,7-,0.1872,14806.82,220922.89,0.06012,0.07326,178,21,18000000,0,0,0,1,26926.13,0,0.9612,1,693655.43,220922.89,22092.29,0,29FEB2012:11:43:20.380000,0.011254,0.013715
7326,1,0.0754,0.19451,0.11549,0.12989,7+,0.1101,611.39,19831.93,0.03814,0.04293,196,41,1460269,0,0,0,1,225475.87,20874.02,0.8328,0.3907,2200000,19831.93,14873.95,0,12APR2012:12:36:09.046000,0.0042,0.004727
5709,1,0.04246,0.09471,0.03852,0.12492,6-,0.0834,0,185900,0.04388,0.04892,266,1,2500000,0,0,0,1,149792.5,149792.5,0.7234,0.7234,541501.63,185900,139425,0,23SEP2013:13:37:14.571000,0.00366,0.00408
9588,1,0.03597,0.16495,0,0.14185,6+,0.0473,0,0,0,0,213,31,0,0,0,0,0,1000387.44,572924.06,0.6646,0.433,2982988.34,0,0,0,28APR2016:14:45:52.462000,0,0
4456,1,0.0065,0.0902,0.01573,0.06067,5+,0.0217,2427.21,80235,0.07759,0.08637,126,0,9563640.46,0,0,0,1,994868.18,839040.43,0.5207,0.5321,2075693.2,80235,0,0,18AUG2010:16:34:22.790000,0.001684,0.001874
4323,0,0.11162,0.03616,0.04434,0.03664,6+,0.0473,7700.6,179000,0.15471,0.21244,253,41,3000000,0,0,0,1,102409.11,0,0.7831,0,472250.26,179000,134250,0,22JUL2016:12:52:53.065000,0.007318,0.010049
4228,1,0.06446,0.01169,0,0.0192,4-,0.0174,0,0,0,0,186,41,0,0,0,0,0,836445.75,836445.75,0.639,0.639,4000000,0,0,0,10DEC2015:10:27:45.532000,0,0
121,1,0.00851,0.09471,0.03109,0.04628,6,0.0628,0,0,0,0,224,21,1860127.6,0,0,0,0,14012.04,0,0.8543,0,298935.02,0,0,0,12MAY2011:15:27:37.464000,0,0
7670,1,0.1059,0.25204,0.0934,0.15672,7-,0.1872,0,0,0,0,226,41,6700000,0,0,0,0,0,0,0,0,250000.01,0,0,0,24MAR2015:08:48:59.568000,0,0
1484,1,0.08402,0.25204,0.02292,0.05004,6-,0.0834,1259.83,69615,0.10721,0.16937,213,11,1000000,0,0,0,1,43864.34,0,0.8684,0,333198.98,69615,58500,0,09MAR2015:14:26:50.528000,0.008942,0.014125
8649,1,0.14593,0.06865,0,0.04862,6-,0.0834,0,0,0,0,225,21,5037770,0,0,0,0,214503.3,0,0.5838,0,590000,0,0,0,12JAN2016:14:36:48.914000,0,0
2803,1,0.01124,0.09471,0.04693,0.0514,6-,0.0834,15711.67,274739.99,0.02707,0.04107,292,31,-2,0,0,0,1,195708.9,89290.49,0.5015,0.675,392581.62,274739.99,206054.99,0,04JUL2011:09:54:18.111000,0.002257,0.003426
2529,1,0.02317,0.01258,0,0.07306,4-,0.0174,0,0,0,0,187,21,0,0,0,0,0,0,0,0,0,5500000,0,0,0,03MAY2016:08:18:40.516000,0,0
715,1,0.0602,0.02982,0.0293,0.04092,6,0.0628,0,0,0,0,277,31,0,0,0,0,0,212034.43,0,0.6028,0,650000,0,0,0,11FEB2016:08:23:17.533000,0,0
6271,1,0.00371,0.13733,0.03434,0.02498,5+,0.0217,8247.41,200000,0.07059,0.08247,168,0,40000000,0,0,0,1,623406.2,311210.65,0,0,623406.22,200000,0,0,09FEB2011:11:35:28.449000,0.001532,0.00179
2832,1,0.00311,0.07598,0.01607,0.03344,6+,0.0473,5266.79,119000,0.02468,0.03391,226,31,2500000,0,0,0,1,109813.3,0,0.6497,0,313475.56,119000,83647.2,0,19SEP2011:11:01:04.103000,0.001167,0.001604
4911,1,0.01657,0.21975,0.03353,0.11885,6-,0.0834,0,0,0,0,207,0,1850000,0,0,0,0,0,0,0,0,600000,0,0,0,01APR2014:14:34:40.672000,0,0
2804,1,0.01642,0.04516,0.03757,0.03255,5-,0.0359,4419.51,101664,0.04435,0.05032,192,31,2200000,0,0,0,1,149582.6,0,0.8148,0,807625.9,101664,71164.8,0,11JUL2011:11:24:12.978000,0.001592,0.001807
3993,1,0.06182,0.09471,0.10043,0.05377,6-,0.0834,1682.92,68500,0.16338,0.20377,230,41,520000,0,0,0,1,46348.92,46348.92,0.8948,0.8948,355748.56,68500,51375,0,01APR2014:15:25:39.061000,0.013626,0.016994
7554,1,0.10486,0.23678,0.12754,0.15957,7,0.1443,0,0,0,0,210,31,0,0,0,0,0,385046.21,356155.45,0.5937,0.5934,2380000,0,0,0,07APR2014:08:40:09.147000,0,0
5944,1,0.12934,0.0282,0,0.09219,6,0.0628,0,8618.49,0.31797,0.32753,266,1,10798895.16,0,0,0,1,28881.23,7842.83,0.0262,0.09,29657,8618.49,861.85,0,21JUL2015:14:50:35.004000,0.019968,0.020569
3421,1,0.01684,0.0675,0,0.04167,6,0.0628,98.57,8233.61,0.22909,0.09075,220,31,800000,0,0,0,1,94498.78,0,0.741,0,364840.26,8233.61,0,0,01JUN2016:11:20:39.878000,0.014387,0.005699
4813,1,0.00821,0.19849,0.03366,0.11106,5-,0.0359,869.6,20000,0.02653,0.0372,228,0,2000000,0,0,0,1,0,0,1.437,1.5832,725869.99,20000,17150,0,11JUL2013:16:37:26.607000,0.000953,0.001336
8603,1,0.05777,0.04356,0,0.02559,5,0.0276,13483.45,297000.09,0.14103,0.1671,225,21,2500000,0,0,0,1,122100.03,122100.03,0.63,0.63,330000.09,0,0,0,28AUG2015:08:46:30.856000,0.003892,0.004612
1650,1,0.04312,0.03861,0.00783,0.01425,4+,0.012,1439.95,29000,0.14808,0.20326,268,11,0,0,0,0,1,21689.21,21689.21,0.939,0.939,355317.14,0,0,0,13MAY2016:15:30:45.679000,0.001777,0.002439
6754,1,0.00416,0.25204,0.14538,0.05315,6-,0.0834,0,0,0,0,168,11,5500000,0,0,0,0,0,0,0,0,266000,0,0,0,12DEC2014:12:17:56.934000,0,0
5575,1,0.02593,0.07401,0.02873,0.12133,6+,0.0473,2688.77,49500,0.03985,0.04803,187,1,0,0,0,0,1,15737.03,6574.91,0.9566,0.9706,362872.34,49500,37125,0,30MAY2012:14:46:54.724000,0.001885,0.002272
5497,1,0.08039,0.03341,0.0274,0.0922,6,0.0628,0,0,0,0,187,1,12713000,0,0,0,0,0,0,0,0,500000,0,0,0,07NOV2011:09:32:12.854000,0,0
7455,1,0.07303,0.16638,0.11221,0.11776,5+,0.0217,5530.33,195000,0.04789,0.04892,210,31,0,0,0,0,1,17555.66,17555.66,0.9421,0.9387,303090.44,195000,146250,0,20JUN2013:15:38:27.825000,0.001039,0.001061
2546,1,0.01595,0.0271,0,0.0524,4-,0.0174,1640.55,56464.08,0.15363,0.20475,174,21,3750000,0,0,0,1,298900.93,58789.98,0.5659,0.5347,688614.84,56464.08,28232.04,0,27JUN2016:15:44:56.634000,0.002673,0.003563
3517,1,0.00861,0.00846,0.00788,0.00836,3+,0.0069,0,0,0,0,164,31,5551807.77,0,0,0,0,72865.96,0,0.9043,0,1350000,0,0,0,01MAR2017:13:48:56.232000,0,0
334,1,0.03338,0.07401,0.00982,0.04229,6,0.0628,0,163000,0.03869,0.04719,361,31,-2,0,0,0,1,52975,52975,0.7989,0.675,263479.63,163000,122250,0,22JAN2013:09:36:34.070000,0.00243,0.002963
379,1,0.00849,0.05642,0.04657,0.03613,6+,0.0473,32727.5,1036000,0.0061,0.0061,200,21,11000000,0,0,0,1,520085.31,0,0.8695,1,3985363.16,1036000,787150,0,16MAY2013:17:39:54.766000,0.000289,0.000289
227,1,0.01076,0.09471,0.06459,0.05582,7+,0.1101,0,0,0,0,247,21,1900000,0,0,0,0,139724.37,0,0.7043,0,472550.1,0,0,0,04JAN2012:09:34:59.976000,0,0
2198,1,0.03831,0.09471,0.11142,0.14695,7,0.1443,0,0,0,0,192,21,0,0,0,0,0,0,0,0,0,590000,0,0,0,06DEC2013:13:14:04.916000,0,0
2590,1,0.00951,0.03302,0,0.06018,4,0.0144,15154.09,350000,0.17625,0.2049,166,21,300000,0,0,0,1,38500,0,0.9108,0,431757.47,350000,245000,0,14NOV2016:11:12:07.790000,0.002538,0.002951
7228,1,0.04465,0.17427,0.08591,0.10334,6+,0.0473,4300.1,109142.96,0.03824,0.03852,196,11,1200000,0,0,0,1,60621.71,0,0.8704,0,467759.4,109142.96,62825,0,25JUL2011:11:39:34.058000,0.001809,0.001822
8184,1,0.05953,0.2084,0.1171,0.06401,7,0.1443,21795.38,539871,0.0061,0.0061,201,0,1200000,0,0,0,1,189517.63,0,0.8062,0,977956.5,539871,332955,0,21FEB2012:11:22:03.943000,0.00088,0.00088
120,1,0.01423,0.07401,0.07287,0.05159,6-,0.0834,57416.31,1510000,0.00852,0.00856,276,31,-2,0,0,0,1,441908.35,190330.06,0.8281,0.9038,2570825.55,1510000,982235,0,27APR2011:14:04:41.537000,0.000711,0.000714
8326,1,0.03374,0.13378,0.08366,0.03613,6+,0.0473,32727.5,1036000,0.0061,0.0061,201,21,11000000,0,0,0,1,520085.31,0,0.8695,1,3985363.16,1036000,787150,0,16MAY2013:17:39:54.766000,0.000289,0.000289
5464,1,0.07383,0.09471,0.01339,0.10072,7+,0.1101,1972.58,43000,0.03902,0.05116,187,1,0,0,0,0,1,85734.33,40849.85,0.8998,0.9214,855264.83,43000,30100,0,08AUG2011:11:47:28.827000,0.004296,0.005632
9424,1,0.04353,0.28256,0.16536,0.17779,7-,0.1872,17347.6,349489,0.16317,0.18747,213,21,6000000,0,0,0,1,348989.41,348989.41,0.7106,0.7106,1250000,349489,227168.37,0,13FEB2015:08:39:27.991000,0.030546,0.035095
4717,1,0.01398,0.18125,0.01775,0.09774,5-,0.0359,8334.3,266223.67,0.0444,0.04624,249,0,3500000,0,0,0,1,125230.68,183770.47,0.8342,0.8201,1021479.08,266223.67,162740,0,26SEP2012:10:25:39.811000,0.001594,0.00166
2799,1,0.01909,0.07985,0.03984,0.04696,6-,0.0834,16526.02,377000,0.05394,0.05176,284,31,-1,0,0,0,1,2037304.38,1353273.35,0.0476,0.0306,2139040.2,377000,0,0,24JUN2011:14:53:58.667000,0.004499,0.004317
1718,1,0.12377,0.02238,0.04238,0.03929,6+,0.0473,0,0,0,0,166,11,0,0,0,0,0,0,0,24.4875,0,1300000,0,0,0,22DEC2016:10:52:46.277000,0,0
6231,1,0.04085,0.10057,0.14269,0.03795,6+,0.0473,0,0,0,0,168,0,112000000,0,0,0,0,349043.08,349043.08,0,0,449000,0,0,0,24SEP2010:06:45:52.572000,0,0
4862,1,0.00588,0.23678,0.0226,0.14479,6,0.0628,2018.19,60000,0.0566,0.09584,203,0,2000000,0,0,0,1,268477.21,0,0.6811,0,841788.95,60000,56000,0,23DEC2013:09:31:23.713000,0.003555,0.006019
485,1,0.01074,0.01845,0.04593,0.02274,5+,0.0217,5796.19,218885.47,0.03814,0.04293,205,21,20000000,0,0,0,1,0,44917.06,1.0499,0.9595,2692029.92,218885.47,121003.5,0,15MAR2010:10:14:45.068000,0.000828,0.000932
2784,1,0.00844,0.04187,0.01061,0.02137,4-,0.0174,0,0,0,0,235,31,-2,0,0,0,0,54193.62,0,0.8654,0,500000,0,0,0,25MAY2011:08:08:48.812000,0,0
2268,1,0.00361,0.09471,0.11275,0.13745,6,0.0628,0,0,0,0,224,21,330000,0,0,0,0,44698.62,0,0.8751,0,575000,0,0,0,30APR2014:14:23:34.787000,0,0
7902,1,0.06983,0.09834,0,0.08135,6,0.0628,10035.11,254896.7,0.03549,0.03837,167,31,1450000,0,0,0,1,0,0,1,1.0783,588725.9,254896.7,167600,0,03JUL2012:09:33:46.428000,0.002229,0.00241
1057,1,0.02874,0.18368,0.03757,0.03466,6+,0.0473,8641.52,234172,0.0273,0.03653,263,11,220000,0,0,0,1,0,0,1.0461,0,291924.68,234172,176800,0,05AUG2011:12:05:46.962000,0.001291,0.001728
8472,1,0.0215,0.28256,0.04355,0.05338,6-,0.0834,3881.43,101468.1,0.13998,0.1622,225,31,221627485.35,0,0,0,1,7189131.33,487889.01,0.57,0.5911,25000000,101468.1,49880,0,27JUN2014:11:39:40.188000,0.011674,0.013527
10569,1,0.03162,0.04516,0.04693,0.04061,6,0.0628,5161.39,204000,0.04747,0.05666,122,11,22500000,0,0,0,1,283508.66,0,0.2811,0,394376.48,204000,102000,0,09APR2010:09:55:37.209000,0.002981,0.003558
3471,1,0.01398,0.02607,0.0112,0.01773,4,0.0144,14601.17,279900,0.06813,0.12292,172,31,1100000,0,0,0,1,79505.62,0,0.8217,0,473914.29,279900,223920,0,09NOV2016:11:46:54.430000,0.000981,0.00177
6917,1,0.00291,0.04619,0.03228,0.01708,4,0.0144,804.13,26390,0.03792,0.0412,211,21,9000000,0,0,0,1,0,0,1.0613,0,508099.15,26390,14514.5,0,22MAR2010:13:30:36.414000,0.000546,0.000593
10455,1,0.0105,0.00619,0.01014,0.00881,3+,0.0069,0,0,0,0,209,21,2500000,0,0,0,0,115045.51,115045.51,0.8871,0.8871,1300000,0,0,0,15MAR2016:12:44:39.148000,0,0
5864,1,0.02936,0.09471,0.02449,0.12713,6,0.0628,4811.46,439500,0.01011,0.01795,266,1,7000000,0,0,0,1,324597.38,324597.38,0.6867,0.6867,1036202.75,439500,307650,0,08DEC2014:11:18:00.203000,0.000635,0.001127
9876,1,0.02861,0.03341,0.0464,0.03501,6+,0.0473,0,0,0,0,193,31,6800000,0,0,0,0,30670.97,30670.97,0.858,0.858,500000,0,0,0,26JUL2011:10:18:38.476000,0,0
7046,1,0.00361,0.03748,0.04193,0.01205,3-,0.0101,5897.02,205000,0.21381,0.27299,211,21,3000000,0,0,0,1,216114.33,0,0.6415,0,602834.4,205000,133250,0,27FEB2017:12:06:44.103000,0.002159,0.002757
7850,1,0.04131,0.08482,0,0.06506,4+,0.012,5730.17,171950,0.30525,0.28142,167,21,0,0,0,0,1,62892.34,0,0.7224,0,253549.28,171950,128962.5,0,18JUL2016:14:40:49.724000,0.003663,0.003377
2384,1,0.0628,0.09471,0,0.17467,7-,0.1872,0,0,0,0,250,21,0,0,0,0,0,0,0,0,0,1540000,0,0,0,05MAY2015:14:40:42.988000,0,0
674,1,0.02988,0.00709,0.0129,0.01704,4,0.0144,2411.87,39915.97,0.16835,0.22444,281,31,6252912.85,0,0,0,1,208673.74,208673.74,0.8415,0.8415,1316405.06,0,0,0,22OCT2015:15:13:27.267000,0.002424,0.003232
2946,1,0.08319,0.07961,0.03711,0.06988,7,0.1443,35488.1,680000,0.03143,0.03945,289,31,6400000,0,0,0,1,108800,108800,0.84,0.84,680000,680000,442000,0,19SEP2012:16:56:02.492000,0.004535,0.005693
7484,1,0.05724,0.23678,0.11631,0.13904,7+,0.1101,0,0,0,0,210,41,0,0,0,0,0,8262.55,0,0,0,6100000,0,0,0,02OCT2013:14:03:13.262000,0,0
5425,1,0.06607,0.04187,0.06459,0.13155,6+,0.0473,10494.38,199967.38,0.04568,0.04832,187,1,-1,0,0,0,1,96752.68,96752.68,0.7398,0.7398,371900.88,199967.38,134305.54,0,12MAY2011:10:35:03.705000,0.002161,0.002285
1875,1,0.01537,0.07401,0,0.1389,6+,0.0473,15710.78,300000,0.02931,0.03903,263,21,980000,0,0,0,1,286958.42,123816.69,0.6747,0.6986,882181.78,300000,234500,0,18MAR2010:11:13:24.531000,0.001386,0.001846
7021,1,0.00514,0.03765,0,0.01078,3-,0.0101,3590.22,111001,0.15538,0.22205,211,21,3200000,0,0,0,1,86761.66,0,0.7692,0,375895.47,111001,83250.75,0,03JAN2017:12:16:20.753000,0.001569,0.002243
1470,1,0.09639,0.2673,0,0.07844,7-,0.1872,696.12,122000,0.07527,0.00834,259,11,0,0,0,0,1,388398.21,388398.21,0.6944,0.6944,1270836.61,122000,64050,0,02FEB2015:14:15:11.588000,0.014091,0.001561
4832,1,0.03511,0.2673,0.0793,0.16668,7,0.1443,0,0,0,0,203,0,7400000,0,0,0,0,135797.08,0,0.8205,0,765000,0,0,0,02OCT2013:17:48:52.872000,0,0
10355,1,0.06089,0.03126,0.02377,0.04027,6,0.0628,0,0,0,0,225,31,0,0,0,0,0,0,0,0,0,6000000,0,0,0,15JUL2015:09:00:41.411000,0,0
10431,1,0.02299,0.02623,0.01079,0.02102,4-,0.0174,0,0,0,0,224,21,4100000,0,0,0,0,30521.12,0,0.9276,0,421697.85,0,0,0,03FEB2016:16:14:47.498000,0,0
343,1,0.01516,0.05642,0.02806,0.03378,6+,0.0473,5090.5,113875.19,0.04737,0.04701,279,31,0,0,0,0,1,68722.39,0,0.8425,0,436256.97,113875.19,0,0,14FEB2013:17:15:37.916000,0.002241,0.002224
10465,1,0.02953,0.02982,0.03634,0.03141,5-,0.0359,0,0,0,0,255,31,9000000,0,0,0,0,909839.86,909839.86,0.5699,0.5699,2600000,0,0,0,06APR2016:09:28:44.557000,0,0
8462,1,0.07379,0.25204,0.09051,0.04376,6,0.0628,0,0,0,0,225,31,5199402.58,0,0,0,0,85271.72,85271.72,0.8392,0.8392,530275.39,0,0,0,02JUN2014:08:41:03.863000,0,0
4503,1,0.01815,0.14378,0.02292,0.08994,5-,0.0359,0,0,0,0,241,0,0,0,0,0,0,15819.64,0,0.9475,0,650000,0,0,0,10FEB2011:15:32:07.737000,0,0
10191,1,0.0198,0.09471,0.11696,0.07278,7,0.1443,558.68,33405,0.14738,0.16253,203,31,1500000,0,0,0,1,593971.66,10856.63,0.8167,0.675,3239942.64,33405,25053.75,0,11MAR2014:10:19:11.259000,0.021267,0.023453
499,1,0.01086,0.12523,0.02292,0.05631,7+,0.1101,4519.04,100000,0.12436,0.176,182,21,450000,0,0,0,1,35075.55,0,0.8924,0,326009.89,100000,83200,0,22APR2014:10:46:06.025000,0.013692,0.019378
3280,1,0.04449,0.05244,0.02564,0.04253,6,0.0628,10068.13,283300,0.02541,0.039,197,31,450000,0,0,0,1,310684.33,0,0.6563,0,903838.95,283300,226725,0,15APR2010:16:28:15.659000,0.001596,0.002449
5183,1,0.02182,0.07139,0.01542,0.07183,4,0.0144,5911.9,96000,0.13892,0.17268,214,0,1900000,0,0,0,1,43146.96,0,0.8368,0,264356.18,96000,72000,0,24MAY2016:09:30:14.806000,0.002,0.002487
4973,1,0.03656,0.25204,0.0793,0.17144,7,0.1443,0,0,0,0,293,0,2200000,0,0,0,0,158745.11,0,0.5969,0,650000,0,0,0,30OCT2014:09:36:44.771000,0,0
8507,1,0.08153,0.2673,0.07257,0.05621,7+,0.1101,0,0,0,0,225,21,9450000,0,0,0,0,0,32962.14,1,0.9348,850000,0,0,0,06NOV2014:14:37:04.358000,0,0
180,1,0.01361,0.04194,0.02702,0.02758,5,0.0276,1753.91,38475,0.05424,0.06178,225,21,3500000,0,0,0,1,239963.19,138201.58,0.6891,0.5991,771814.52,38475,19237.5,0,01SEP2011:11:15:31.230000,0.001497,0.001705
617,1,0.04713,0.09471,0.0793,0.0731,7,0.1443,0,0,0,0,258,21,0,0,0,0,0,0,45830.55,1,0.6475,400000,0,0,0,05MAY2015:17:05:01.996000,0,0
5589,1,0.05942,0.05642,0.05663,0.10373,6-,0.0834,2444.13,57700,0.04429,0.05812,187,1,25000000,0,0,0,1,74754.41,17310,0.6522,0.7,214926.17,57700,0,0,24JUL2012:16:23:27.099000,0.003694,0.004847
1895,1,0.01657,0.05244,0.14956,0.10412,5-,0.0359,3115.58,61850,0.02562,0.03851,269,21,2000000,0,0,0,1,194084.62,14026.25,0.7655,0.7732,827828.44,61850,53137.5,0,31MAY2011:16:55:47.705000,0.00092,0.001383
4097,1,0.0669,0.12523,0.13728,0.07174,7,0.1443,45932.66,1295850,0.0061,0.0061,143,41,13700000,0,0,0,1,321986.49,321986.49,0.9561,0.9341,7335277.35,1295850,971887.5,0,24NOV2014:13:17:39.602000,0.00088,0.00088
4063,1,0.0881,0.12523,0,0.06066,7+,0.1101,163.45,6172.27,0.15069,0.07762,288,41,2600000,0,0,0,1,152990.03,38139.64,0.7925,0.9115,737288.94,6172.27,3394.75,0,29JUL2014:16:38:46.886000,0.016591,0.008546
10486,0,0.03516,0.01497,0,0.02527,5,0.0276,0,0,0,0,193,21,2500000,0,0,0,0,0,0,0,0,500000,0,0,0,07JUN2016:15:11:14.376000,0,0
1643,1,0.07077,0.07474,0,0.01055,3-,0.0101,1868.19,50000,0.2051,0.23717,251,11,0,0,0,0,1,228188.23,158695.03,0.4291,0.1242,500000,50000,25000,0,26APR2016:16:03:55.005000,0.002072,0.002395
2431,1,0.02491,0.01079,0,0.04082,4,0.0144,0,0,0,0,207,21,4000000,0,0,0,0,0,0,0,0,350000,0,0,0,07OCT2015:13:19:45.478000,0,0
9232,1,0.01621,0.15622,0.06255,0.0896,5-,0.0359,3090.05,255200,0.05922,0.05257,241,31,850000,0,0,0,1,293807.91,0,0.7468,0,1160298.59,255200,191400,0,02AUG2013:12:24:07.169000,0.002126,0.001887
3672,1,0.05327,0.0704,0.08743,0.03772,6+,0.0473,16553.28,343000,0.04024,0.04806,196,41,50500,0,0,0,1,246441.71,228777.49,0.6921,0.692,800357.93,343000,240100,0,15JUN2011:16:21:54.071000,0.001903,0.002273
9402,1,0.0628,0.2673,0,0.16735,7-,0.1872,9961.1,113760,0.24991,0.29536,213,0,0,0,0,0,1,109442.69,164213.97,0.6033,0.4047,275865.26,0,0,0,24FEB2015:08:11:52.618000,0.046783,0.055291
1584,1,0.05527,0.20648,0,0.0527,6-,0.0834,1642.95,86483.25,0.14809,0.16959,188,11,1573563.73,0,0,0,1,26945.8,16612.86,0.893,0.8782,251762.74,86483.25,72675,0,21DEC2015:16:00:32.395000,0.012351,0.014144
8389,1,0.07261,0.23678,0.0523,0.06294,7+,0.1101,870.45,28000,0.20607,0.26212,201,21,0,0,0,0,1,81907.21,80683.55,0.7537,0.741,332502.96,28000,19600,0,19DEC2013:13:25:18.944000,0.022689,0.02886
6017,1,0.08666,0.02991,0.01645,0.06815,4-,0.0174,756.84,47627.68,0.22909,0.09075,266,1,900000,0,0,0,1,216382.73,216382.73,0.6962,0.6962,712173.02,47627.68,0,0,02FEB2016:10:45:47.394000,0.003986,0.001579
8898,1,0.0238,0.18049,0.10421,0.12237,6,0.0628,0,0,0,0,249,31,750000,0,0,0,0,68976.98,0,0.7938,0,334487.12,0,0,0,09DEC2010:12:07:13.923000,0,0
3604,1,0.04385,0.10614,0.05595,0.05212,6-,0.0834,2610.45,39370,0.04663,0.05695,245,41,0,0,0,0,1,38176.14,0,0.8482,0,262407.01,39370,23100,0,29DEC2010:09:57:17.214000,0.003889,0.004749
3317,1,0.02966,0.02982,0.01339,0.02549,5,0.0276,0,0,0,0,245,31,1500000,0,0,0,0,222416.47,0,0.5814,0,650000,0,0,0,23OCT2015:12:05:31.497000,0,0
516,1,0.01335,0.09471,0.02708,0.04703,6-,0.0834,0,127186.59,0.1601,0.1931,202,21,82500000,0,0,0,1,1428419.2,1259989.47,0.4736,0.5044,2750000,127186.59,89030.61,0,28MAY2014:16:17:06.111000,0.013353,0.016104
10183,1,0.02479,0.09471,0.04746,0.05656,7+,0.1101,0,121000,0.10443,0.14957,203,31,20240000,0,0,0,1,135996.02,91480.86,0.7607,0.6783,568230.65,121000,90750,0,18FEB2014:15:22:04.063000,0.011497,0.016468
10511,1,0.00974,0.00601,0,0.00791,3+,0.0069,5083.45,176480,0.10563,0.14478,194,21,5500000,0,0,0,1,44002.06,0,0.9245,0,582760.69,176480,148500,0,19AUG2016:14:45:35.256000,0.000729,0.000999
1971,1,0.01393,0.05244,0.06031,0.08636,5-,0.0359,7549.29,297500,0.02915,0.0394,284,21,4000000,0,0,0,1,155048.6,137490.51,0.8656,0.875,1153647.62,297500,187500,0,15NOV2011:14:52:46.118000,0.001046,0.001414
10395,1,0.00768,0.00801,0.01151,0.0088,3+,0.0069,0,0,0,0,186,21,3500000,0,0,0,1,15502.27,0,0.9784,0,925000,75000,0,0,11NOV2015:09:09:53.510000,0,0
2009,1,0.06095,0.09858,0.1388,0.1341,7-,0.1872,14806.82,220922.89,0.06012,0.07326,272,21,18000000,0,0,0,1,26926.13,0,0.9612,1,693655.43,220922.89,22092.29,0,29FEB2012:11:43:20.380000,0.011254,0.013715
